Column2	Column3
2018-10-23T18:02:53.370Z	30.362299
2018-10-23T18:02:53.829Z	29.949025
2018-10-23T18:02:54.007Z	29.722841
2018-10-23T18:02:54.122Z	29.612572
2018-10-23T18:02:54.404Z	29.708394
2018-10-23T18:02:54.539Z	31.193718
2018-10-23T18:02:54.659Z	31.07625
2018-10-23T18:02:54.878Z	30.865036
2018-10-23T18:02:55.141Z	30.61469
2018-10-23T18:02:55.391Z	30.356053
2018-10-23T18:02:55.874Z	29.865299
2018-10-23T18:02:56.137Z	29.59495
2018-10-23T18:02:56.405Z	29.323279
2018-10-23T18:02:56.640Z	29.09562
2018-10-23T18:02:56.863Z	30.874417
2018-10-23T18:02:57.106Z	30.623727
2018-10-23T18:02:57.136Z	30.602667
2018-10-23T18:02:57.620Z	30.112192
2018-10-23T18:02:57.900Z	29.858947
2018-10-23T18:02:58.460Z	29.337835
2018-10-23T18:02:58.759Z	29.032059
2018-10-23T18:02:59.136Z	28.605814
2018-10-23T18:02:59.440Z	28.29475
2018-10-23T18:02:59.576Z	30.156648
2018-10-23T18:02:59.612Z	30.151045
2018-10-23T18:02:59.870Z	29.862185
2018-10-23T18:03:00.138Z	29.611876
2018-10-23T18:03:00.623Z	29.108002
2018-10-23T18:03:00.899Z	28.854715
2018-10-23T18:03:01.200Z	28.547259
2018-10-23T18:03:01.389Z	28.339626
2018-10-23T18:03:01.663Z	28.281289
2018-10-23T18:03:01.725Z	29.005632
2018-10-23T18:03:01.945Z	29.789571
2018-10-23T18:03:02.069Z	29.698129
2018-10-23T18:03:02.135Z	29.614313
2018-10-23T18:03:02.277Z	29.489002
2018-10-23T18:03:02.627Z	29.437706
2018-10-23T18:03:02.705Z	31.022946
2018-10-23T18:03:02.721Z	31.006199
2018-10-23T18:03:03.126Z	30.611835
2018-10-23T18:03:03.397Z	30.360364
2018-10-23T18:03:04.006Z	29.726578
2018-10-23T18:03:04.454Z	29.357208
2018-10-23T18:03:04.483Z	29.32357
2018-10-23T18:03:04.660Z	29.093896
2018-10-23T18:03:04.728Z	31.001088
2018-10-23T18:03:04.808Z	30.924614
2018-10-23T18:03:05.120Z	30.611503
2018-10-23T18:03:05.375Z	30.361262
2018-10-23T18:03:05.868Z	29.86123
2018-10-23T18:03:06.232Z	29.499267
2018-10-23T18:03:06.616Z	30.89281
2018-10-23T18:03:06.856Z	30.919722
2018-10-23T18:03:06.968Z	30.869941
2018-10-23T18:03:07.180Z	30.632973
2018-10-23T18:03:07.245Z	30.626783
2018-10-23T18:03:07.362Z	30.39795
2018-10-23T18:03:07.619Z	30.111662
2018-10-23T18:03:07.820Z	31.906281
2018-10-23T18:03:07.884Z	31.862552
2018-10-23T18:03:07.991Z	31.739208
2018-10-23T18:03:08.124Z	31.612123
2018-10-23T18:03:08.921Z	30.85323
2018-10-23T18:03:09.011Z	30.722525
2018-10-23T18:03:09.137Z	30.611951
2018-10-23T18:03:09.360Z	32.366334
2018-10-23T18:03:09.372Z	32.358559
2018-10-23T18:03:09.379Z	32.347416
2018-10-23T18:03:09.875Z	31.861775
2018-10-23T18:03:10.120Z	31.609405
2018-10-23T18:03:10.639Z	31.106311
2018-10-23T18:03:11.230Z	30.495602
2018-10-23T18:03:11.482Z	30.269664
2018-10-23T18:03:11.674Z	30.111942
2018-10-23T18:03:11.977Z	29.752092
2018-10-23T18:03:12.032Z	31.701441
2018-10-23T18:03:12.161Z	31.562316
2018-10-23T18:03:12.365Z	31.363838
2018-10-23T18:03:12.636Z	31.108313
2018-10-23T18:03:12.874Z	30.858754
2018-10-23T18:03:13.379Z	30.360857
2018-10-23T18:03:13.809Z	29.917288
2018-10-23T18:03:14.138Z	29.603137
2018-10-23T18:03:14.291Z	29.449395
2018-10-23T18:03:14.602Z	31.119546
2018-10-23T18:03:14.611Z	31.11232
2018-10-23T18:03:14.622Z	31.102955
2018-10-23T18:03:15.116Z	30.611226
2018-10-23T18:03:15.366Z	30.360958
2018-10-23T18:03:15.875Z	29.853908
2018-10-23T18:03:16.590Z	29.181725
2018-10-23T18:03:16.717Z	29.009681
2018-10-23T18:03:16.867Z	28.861373
2018-10-23T18:03:17.193Z	28.613353
2018-10-23T18:03:17.278Z	30.446494
2018-10-23T18:03:17.412Z	30.317689
2018-10-23T18:03:17.626Z	30.111274
2018-10-23T18:03:17.893Z	29.860545
2018-10-23T18:03:18.090Z	31.633734
2018-10-23T18:03:18.111Z	31.620997
2018-10-23T18:03:18.171Z	31.601398
2018-10-23T18:03:18.690Z	31.041142
2018-10-23T18:03:18.865Z	30.861337
2018-10-23T18:03:19.138Z	30.601061
2018-10-23T18:03:19.616Z	30.216867
2018-10-23T18:03:19.839Z	30.674295
2018-10-23T18:03:19.851Z	30.672314
2018-10-23T18:03:19.865Z	31.194488
2018-10-23T18:03:19.909Z	31.815154
2018-10-23T18:03:20.119Z	31.611111
2018-10-23T18:03:20.206Z	31.519138
2018-10-23T18:03:20.382Z	31.36089
2018-10-23T18:03:20.649Z	31.118185
2018-10-23T18:03:21.183Z	30.558303
2018-10-23T18:03:21.643Z	30.105846
2018-10-23T18:03:21.916Z	31.808554
2018-10-23T18:03:21.979Z	31.745404
2018-10-23T18:03:22.122Z	31.606499
2018-10-23T18:03:22.620Z	31.129449
2018-10-23T18:03:23.132Z	30.611273
2018-10-23T18:03:23.382Z	30.356471
