Interval	Avg	Std	CI=0.95	Min	Median	Max
  102 --   103	26.348	4.116	5.111	21.015	28.577	30.893
  103 --   104	25.844	4.641	5.763	20.250	27.719	30.590
  104 --   105	26.160	4.742	5.888	20.113	26.560	31.490
  105 --   106	26.286	4.203	5.219	20.417	27.837	30.523
  106 --   107	26.160	4.558	5.660	19.371	28.300	31.130
  107 --   108	25.930	4.770	5.922	18.254	27.751	30.560
  108 --   109	26.119	3.872	4.808	19.179	26.646	29.803
  109 --   110	27.002	3.169	3.935	21.450	28.423	30.746
  110 --   111	26.813	3.276	4.068	21.343	27.285	31.631
  111 --   112	25.992	3.192	3.963	20.399	26.259	30.346
  112 --   113	26.009	3.981	4.943	19.331	25.800	31.433
  113 --   114	27.031	3.672	4.559	20.865	27.242	31.026
  114 --   115	27.988	1.632	2.027	25.709	27.965	29.855
  115 --   116	28.886	1.873	2.326	26.116	28.472	31.063
  116 --   117	29.507	2.203	2.736	26.572	29.148	32.226
  117 --   118	28.841	1.769	2.196	26.529	28.421	31.373
  118 --   119	29.127	2.282	2.833	26.067	28.788	32.089
  119 --   120	29.556	1.716	2.131	27.404	30.398	31.549
  120 --   121	30.092	2.094	2.600	26.727	31.406	32.099
  121 --   122	29.425	1.921	2.385	26.606	30.552	31.270
  122 --   123	28.724	1.729	2.146	26.320	29.924	30.315
  123 --   124	29.433	1.763	2.189	27.173	30.563	31.311
  124 --   125	29.903	0.848	1.053	28.641	29.929	31.292
  125 --   126	30.132	1.389	1.725	27.992	30.809	31.691
  126 --   127	29.553	1.409	1.749	27.033	29.585	31.304
  127 --   128	29.360	1.460	1.813	27.150	29.014	31.168
  128 --   129	29.236	1.619	2.010	27.002	30.102	31.263
  129 --   130	29.202	1.378	1.711	26.704	29.845	30.421
  130 --   131	28.878	1.830	2.272	25.561	30.010	30.417
  131 --   132	29.107	2.271	2.820	24.997	30.362	31.233
  132 --   133	29.683	2.451	3.043	24.821	30.647	31.331
  133 --   134	30.268	2.623	3.257	25.210	31.251	32.523
  134 --   135	29.839	2.967	3.684	24.610	29.876	32.739
  135 --   136	29.605	3.183	3.953	23.549	30.232	32.643
  136 --   137	29.061	2.676	3.322	23.932	29.863	31.544
  137 --   138	29.708	1.702	2.114	26.563	29.963	31.661
  138 --   139	30.395	0.795	0.987	29.468	30.008	31.721
  139 --   140	29.666	0.648	0.804	29.016	29.414	30.706
  140 --   141	29.435	1.281	1.591	28.057	29.462	31.494
  141 --   142	29.113	1.647	2.045	27.044	30.079	30.701
  142 --   143	28.628	1.828	2.270	25.854	29.170	30.780
  143 --   144	29.279	1.511	1.876	27.058	29.964	30.882
  144 --   145	28.523	1.110	1.378	26.430	28.661	29.621
  145 --   146	28.817	1.502	1.865	26.354	29.831	30.097
  146 --   147	29.395	0.935	1.161	27.599	29.777	30.162
  147 --   148	29.740	0.848	1.052	28.327	30.370	30.422
  148 --   149	29.968	1.466	1.820	27.916	29.821	32.035
  149 --   150	30.712	1.887	2.343	28.618	30.556	34.127
  150 --   151	30.501	1.822	2.263	27.823	30.736	33.173
  151 --   152	30.323	1.526	1.895	27.791	30.846	32.040
  152 --   153	30.297	1.527	1.896	27.443	30.709	32.040
  153 --   154	30.104	1.805	2.241	26.897	30.305	32.115
  154 --   155	29.556	1.647	2.046	26.488	30.295	30.972
  155 --   156	29.439	2.369	2.941	25.382	29.648	32.802
  156 --   157	29.245	1.974	2.451	25.803	29.340	31.203
  157 --   158	30.461	1.276	1.585	28.719	30.157	32.025
  158 --   159	30.438	1.006	1.250	28.691	30.443	31.727
  159 --   160	30.310	1.848	2.295	28.357	30.055	33.768
  160 --   161	29.783	1.727	2.144	28.226	28.849	32.592
  161 --   162	29.294	1.624	2.016	27.289	28.625	31.661
  162 --   163	28.939	1.414	1.756	27.542	27.968	30.824
  163 --   164	29.186	1.576	1.957	27.666	28.862	31.977
  164 --   165	28.573	1.618	2.008	26.676	28.308	31.418
  165 --   166	28.443	1.671	2.075	26.336	29.465	30.348
  166 --   167	27.711	1.530	1.900	25.327	28.357	29.208
  167 --   168	27.790	1.813	2.251	24.460	28.335	29.382
  168 --   169	28.533	2.741	3.403	23.576	29.238	31.603
  169 --   170	28.850	2.357	2.927	24.489	29.435	31.662
  170 --   171	28.720	1.868	2.319	25.509	29.467	30.907
  171 --   172	29.066	2.096	2.602	25.126	29.743	31.366
  172 --   173	28.859	2.366	2.937	24.196	29.744	30.477
  173 --   174	28.479	2.760	3.427	23.244	29.513	30.668
  174 --   175	29.389	2.543	3.157	24.577	30.344	32.051
  175 --   176	30.298	2.546	3.161	25.377	31.508	32.430
  176 --   177	29.266	2.555	3.172	24.333	30.473	31.339
  177 --   178	29.431	3.036	3.770	23.483	30.286	31.858
  178 --   179	28.827	3.255	4.042	22.449	30.466	31.176
  179 --   180	28.461	3.673	4.561	21.185	29.859	31.164
  180 --   181	28.174	3.459	4.295	21.481	29.283	30.843
  181 --   182	28.324	3.524	4.375	21.530	30.287	31.101
  182 --   183	27.953	3.810	4.730	20.552	29.487	30.791
  183 --   184	27.827	4.379	5.437	19.569	29.219	31.876
  184 --   185	27.832	5.028	6.243	18.480	29.342	32.683
  185 --   186	27.946	4.636	5.756	18.841	29.613	31.666
  186 --   187	28.331	3.888	4.828	20.739	29.552	31.747
  187 --   188	27.997	3.836	4.764	20.795	28.500	31.659
  188 --   189	26.993	3.755	4.662	20.023	27.391	30.820
  189 --   190	26.907	3.575	4.439	20.141	28.016	29.889
  190 --   191	26.775	3.767	4.678	19.934	27.470	30.771
  191 --   192	26.849	4.258	5.287	18.932	28.360	30.974
  192 --   193	27.474	4.865	6.041	18.862	30.214	32.044
  193 --   194	27.035	4.654	5.778	19.195	29.657	31.702
  194 --   195	26.910	4.046	5.024	20.896	29.333	30.655
  195 --   196	27.075	3.066	3.807	22.611	29.346	29.929
  196 --   197	27.260	3.516	4.365	22.624	29.314	30.973
  197 --   198	26.969	3.055	3.794	22.501	28.133	30.050
  198 --   199	26.188	3.124	3.879	21.443	28.196	29.081
  199 --   200	26.136	3.867	4.802	20.609	28.466	29.764
