Interval	Avg	Std	CI=0.95	Min	Median	Max
  385 --   386	9.222	4.913	3.514	0.640	9.790	16.263
  386 --   387	9.255	4.484	3.207	0.320	9.342	15.304
  387 --   388	10.205	4.216	3.016	0.607	10.599	16.829
  388 --   389	10.613	3.994	2.857	2.413	11.241	17.225
  389 --   390	10.192	3.976	2.844	2.826	10.358	16.185
  390 --   391	10.674	3.012	2.155	5.510	10.535	16.047
  391 --   392	10.830	3.341	2.390	4.667	11.314	16.203
  392 --   393	10.476	3.497	2.501	3.750	11.019	15.806
  393 --   394	10.519	4.200	3.004	2.668	10.169	16.917
  394 --   395	10.322	4.474	3.201	1.667	10.640	16.120
  395 --   396	10.525	4.198	3.003	2.425	10.433	16.697
  396 --   397	10.192	3.874	2.771	3.299	10.446	15.944
  397 --   398	9.932	3.886	2.780	2.829	10.679	14.818
  398 --   399	9.252	4.079	2.918	1.915	9.853	13.986
  399 --   400	8.982	4.522	3.235	0.833	10.645	14.740
  400 --   401	9.221	4.736	3.388	0.056	10.432	14.612
  401 --   402	10.013	4.465	3.194	0.000	10.264	15.090
  402 --   403	10.098	3.899	2.789	0.917	11.380	14.004
  403 --   404	11.183	2.989	2.138	4.833	11.098	15.267
  404 --   405	11.218	2.406	1.721	7.833	11.381	15.463
  405 --   406	11.016	2.924	2.092	6.918	11.601	17.434
  406 --   407	11.180	3.097	2.216	6.229	11.480	17.388
  407 --   408	11.403	2.799	2.003	5.865	11.797	16.490
  408 --   409	10.875	2.772	1.983	5.025	11.622	15.181
  409 --   410	10.594	2.865	2.050	4.490	10.945	14.220
  410 --   411	10.530	2.845	2.035	5.014	11.322	14.007
  411 --   412	9.767	2.996	2.144	4.061	10.284	14.171
  412 --   413	9.869	3.077	2.201	4.270	10.337	14.358
  413 --   414	9.497	2.687	1.922	5.951	9.231	14.358
  414 --   415	9.807	2.913	2.084	5.786	9.116	15.362
  415 --   416	9.844	2.971	2.125	4.911	9.516	14.661
  416 --   417	9.708	3.017	2.158	5.325	9.497	13.950
  417 --   418	9.578	3.510	2.511	4.661	9.625	15.040
  418 --   419	9.215	3.646	2.608	3.661	9.896	14.772
  419 --   420	9.427	4.166	2.980	2.661	9.923	16.808
  420 --   421	9.594	4.649	3.326	1.786	8.896	18.741
  421 --   422	9.518	4.513	3.228	2.084	9.256	17.299
  422 --   423	8.965	4.391	3.141	1.786	9.133	16.388
  423 --   424	8.629	4.382	3.135	1.378	8.056	15.465
  424 --   425	8.199	4.384	3.136	2.046	7.085	14.562
  425 --   426	7.623	4.149	2.968	0.963	7.074	13.817
  426 --   427	7.581	4.764	3.408	0.148	6.935	14.580
  427 --   428	7.538	4.844	3.465	0.394	6.969	14.733
  428 --   429	7.714	4.894	3.501	0.023	7.493	14.640
  429 --   430	7.182	4.680	3.348	0.000	6.808	13.494
  430 --   431	6.737	4.316	3.088	0.000	6.715	12.852
