Interval	Avg	Std	CI=0.95	Min	Median	Max
  185 --   186	3687.793	1416.488	1013.295	1729.388	3795.561	5516.881
  186 --   187	4028.077	1129.305	807.856	2027.281	3975.530	5965.091
  187 --   188	3901.602	1026.078	734.012	2426.566	3705.201	5462.980
  188 --   189	4882.416	1248.217	892.921	2747.094	5079.972	7291.556
  189 --   190	4672.553	663.326	474.515	3288.621	4854.927	5493.947
  190 --   191	5263.680	3874.183	2771.423	1261.556	4408.874	16480.000
  191 --   192	3359.196	1033.491	739.315	1529.847	3674.869	4648.080
  192 --   193	5013.559	998.026	713.945	3422.932	5178.136	7257.778
  193 --   194	4214.841	825.715	590.681	2459.175	4423.036	5275.931
  194 --   195	3801.497	905.727	647.918	2380.558	3983.668	5035.096
  195 --   196	4486.242	1492.664	1067.788	2604.963	4266.793	8167.000
  196 --   197	4155.215	1008.771	721.632	1855.472	4234.524	5530.690
  197 --   198	4243.941	983.804	703.771	2007.146	4314.186	5641.586
  198 --   199	3674.911	1079.794	772.438	2202.264	4068.811	5105.723
  199 --   200	4207.945	979.406	700.625	2678.999	4472.573	5717.669
  200 --   201	3860.398	1281.471	916.709	1936.184	3770.088	5827.822
  201 --   202	4293.589	1557.645	1114.272	2658.635	4296.882	8202.000
  202 --   203	3601.360	1035.445	740.712	2330.431	3542.241	5449.115
  203 --   204	4110.446	989.305	707.706	2296.099	3879.496	5454.667
  204 --   205	4047.369	1135.804	812.505	2252.244	4418.645	5218.467
  205 --   206	4387.807	1463.906	1047.215	2626.226	4344.935	8147.000
  206 --   207	4305.083	987.267	706.248	2542.855	4385.751	5621.303
  207 --   208	4718.784	1138.174	814.200	3209.746	4853.472	7365.333
  208 --   209	3750.604	1023.156	731.922	2468.727	3430.588	5356.800
  209 --   210	4053.985	1165.259	833.576	2161.528	4023.042	5717.053
  210 --   211	3888.903	928.193	663.989	1883.773	3990.314	5074.605
  211 --   212	4927.572	2224.852	1591.563	2465.321	4537.607	10877.333
  212 --   213	4230.872	924.103	661.063	2514.251	4664.681	5507.937
  213 --   214	3722.690	1677.070	1199.704	1368.683	3216.578	7322.667
  214 --   215	3961.961	1208.305	864.369	1309.589	4349.456	5113.294
  215 --   216	4520.857	935.552	669.254	2570.459	4453.359	5951.273
  216 --   217	4151.620	842.923	602.991	2709.848	4086.094	5484.143
  217 --   218	4085.269	1122.563	803.033	1692.193	4599.870	5203.092
  218 --   219	4347.297	1600.336	1144.811	1153.701	4537.297	7526.868
  219 --   220	4646.285	787.607	563.420	3471.511	4738.528	5705.717
  220 --   221	4052.556	1311.868	938.453	1660.392	4571.404	5705.950
  221 --   222	32336.459	82570.017	59067.032	3501.861	5072.486	280040.000
  222 --   223	4716.082	674.803	482.725	3882.963	4555.835	5744.410
  223 --   224	4204.677	1162.549	831.637	2161.731	4991.290	5147.406
  224 --   225	4340.829	714.879	511.393	2831.461	4415.089	5239.494
  225 --   226	5127.558	1564.538	1119.203	3065.569	4809.686	9417.143
  226 --   227	4492.186	1033.620	739.407	1741.200	4844.725	5282.555
  227 --   228	4069.737	708.071	506.523	2167.200	4247.321	4797.799
  228 --   229	4284.677	733.803	524.931	2680.979	4537.755	5010.478
  229 --   230	3785.161	1173.666	839.590	1750.972	4001.363	5444.484
  230 --   231	4161.035	930.176	665.407	2545.633	4380.780	5279.592
  231 --   232	4168.864	1240.315	887.268	2709.055	3892.760	7234.667
  232 --   233	3370.175	944.374	675.564	2105.225	3175.711	5185.926
  233 --   234	4144.871	1309.607	936.836	1809.757	4480.499	5979.636
  234 --   235	3698.513	1336.526	956.093	993.061	4023.693	5302.182
  235 --   236	4624.858	1501.405	1074.040	2112.336	4946.177	7435.265
  236 --   237	4066.841	1109.657	793.801	2528.028	4397.718	5524.194
  237 --   238	4054.860	1375.931	984.282	2073.236	4084.791	7345.778
  238 --   239	4265.836	1233.289	882.242	2002.493	4873.103	5509.231
  239 --   240	4623.797	1458.671	1043.470	2602.474	4708.810	8167.000
  240 --   241	3933.703	986.606	705.775	2399.393	3984.712	5524.591
  241 --   242	4262.466	785.061	561.599	2976.414	4323.960	5475.333
  242 --   243	4104.360	990.162	708.320	2642.549	4620.073	5087.323
  243 --   244	4029.145	528.100	377.780	2989.036	4096.537	4674.815
  244 --   245	4132.058	818.501	585.520	2913.861	4007.221	5268.280
  245 --   246	3760.162	997.893	713.849	2034.189	3721.447	5727.686
  246 --   247	3838.066	994.098	711.135	2026.652	3934.071	5206.991
  247 --   248	4668.052	622.495	445.306	2973.002	4911.781	5124.121
  248 --   249	59798.814	165754.492	118573.621	2808.742	4778.001	557057.684
  249 --   250	3716.605	758.201	542.384	2498.024	3649.390	5234.008
  250 --   251	3823.886	1340.875	959.204	1392.240	3922.832	5295.270
  251 --   252	4732.351	1840.351	1316.508	1876.301	4813.486	9273.143
  252 --   253	4187.893	1029.049	736.137	2380.604	4605.607	5510.914
  253 --   254	4688.438	1308.785	936.249	2160.913	4933.920	7314.667
  254 --   255	4522.481	521.246	372.877	3752.443	4456.065	5266.702
  255 --   256	3205.424	818.596	585.588	1993.737	3191.228	4396.811
  256 --   257	3808.500	1339.039	957.891	1605.602	4243.040	5461.489
  257 --   258	4388.997	1019.756	729.489	2611.468	4930.282	5340.614
  258 --   259	3500.498	1026.888	734.591	1683.346	3437.334	5434.283
  259 --   260	3547.292	971.282	694.813	2231.970	3590.846	5270.114
  260 --   261	4316.966	3073.973	2198.988	1930.103	3288.719	13100.800
  261 --   262	4321.951	1003.531	717.883	2282.246	4861.466	5463.307
  262 --   263	4585.546	1034.294	739.890	2490.958	4731.816	5923.981
  263 --   264	4414.533	796.391	569.704	2472.541	4657.543	5203.183
  264 --   265	3342.310	1364.648	976.210	1746.434	3428.533	5258.647
  265 --   266	3990.022	1105.188	790.604	1741.397	4002.233	5635.622
  266 --   267	4681.859	1999.721	1430.514	1271.509	4833.592	9379.429
  267 --   268	3917.204	1118.432	800.078	2217.897	3977.057	5255.787
  268 --   269	4123.143	1425.952	1020.064	2193.156	3837.386	7274.667
  269 --   270	3790.527	753.880	539.294	2787.187	3587.806	5069.828
  270 --   271	4721.701	2988.097	2137.555	2123.889	3810.588	13012.800
  271 --   272	4072.694	960.733	687.267	2705.983	3945.597	5657.897
  272 --   273	4531.761	1150.830	823.254	3536.790	4073.553	7300.444
  273 --   274	3210.986	1168.978	836.237	1517.860	2873.268	5383.086
  274 --   275	4365.470	866.282	619.701	2999.754	4532.548	5526.029
  275 --   276	4547.303	946.216	676.882	2726.342	4942.895	5559.481
  276 --   277	5411.938	2019.509	1444.669	3625.646	4795.755	10917.333
  277 --   278	4001.613	780.840	558.579	2593.149	3946.364	5405.351
  278 --   279	4129.116	1410.842	1009.256	1362.479	4432.471	5916.364
  279 --   280	3877.501	1142.311	817.160	1947.525	4137.592	5187.104
