Interval	Avg	CI=0.95	Limite Inferior	Limite Superior
768	29.443	4.425	25.018	33.868
769	29.181	4.404	24.777	33.585
770	29.048	4.486	24.562	33.534
771	29.235	4.473	24.762	33.708
772	29.216	4.591	24.625	33.807
773	28.924	4.630	24.294	33.554
774	28.901	4.768	24.133	33.669
775	28.836	4.892	23.944	33.728
776	28.539	4.946	23.593	33.485
777	28.248	5.021	23.227	33.269
778	28.412	5.119	23.293	33.531
779	28.289	5.123	23.166	33.412
780	28.050	5.177	22.873	33.227
781	28.280	5.366	22.914	33.646
782	28.363	5.454	22.909	33.817
783	28.271	5.577	22.694	33.848
784	28.034	5.579	22.455	33.613
785	27.672	5.538	22.134	33.210
786	27.515	5.568	21.947	33.083
787	27.475	5.667	21.808	33.142
788	27.418	5.705	21.713	33.123
789	27.396	5.702	21.694	33.098
790	27.404	5.825	21.579	33.229
791	27.381	5.939	21.442	33.320
792	27.850	6.124	21.726	33.974
793	27.818	6.176	21.642	33.994
794	27.849	6.291	21.558	34.140
795	27.628	6.294	21.334	33.922
796	27.497	6.400	21.097	33.897
797	27.204	6.450	20.754	33.654
798	27.476	6.612	20.864	34.088
799	27.380	6.609	20.771	33.989
800	27.589	6.413	21.176	34.002
801	27.740	6.188	21.552	33.928
802	27.706	6.188	21.518	33.894
803	27.864	5.772	22.092	33.636
804	28.265	5.867	22.398	34.132
805	28.292	5.884	22.408	34.176
806	28.014	5.844	22.170	33.858
807	27.997	5.384	22.613	33.381
808	27.761	5.147	22.614	32.908
809	28.126	4.956	23.170	33.082
810	28.121	4.947	23.174	33.068
811	28.461	4.558	23.903	33.019
812	28.543	4.545	23.998	33.088
813	29.016	4.130	24.886	33.146
814	29.474	4.284	25.190	33.758
815	29.662	3.848	25.814	33.510
816	29.582	3.837	25.745	33.419
817	29.545	3.675	25.870	33.220
818	29.793	3.424	26.369	33.217
819	29.963	3.208	26.755	33.171
820	30.146	3.324	26.822	33.470
821	30.149	3.349	26.800	33.498
822	30.427	3.609	26.818	34.036
823	30.347	3.608	26.739	33.955
824	30.320	3.573	26.747	33.893
825	30.039	3.544	26.495	33.583
826	29.962	3.524	26.438	33.486
827	29.897	3.493	26.404	33.390
828	30.014	3.668	26.346	33.682
829	30.397	3.719	26.678	34.116
830	30.391	3.744	26.647	34.135
831	30.215	3.959	26.256	34.174
832	30.536	4.062	26.474	34.598
833	30.333	4.020	26.313	34.353
834	30.168	4.051	26.117	34.219
835	30.121	4.006	26.115	34.127
836	30.197	3.598	26.599	33.795
837	30.212	3.593	26.619	33.805
838	30.164	3.610	26.554	33.774
839	30.194	3.612	26.582	33.806
840	30.499	3.642	26.857	34.141
841	30.659	3.342	27.317	34.001
842	30.620	3.434	27.186	34.054
843	30.432	3.504	26.928	33.936
844	30.242	3.571	26.671	33.813
845	30.123	3.391	26.732	33.514
846	29.722	3.336	26.386	33.058
847	29.500	3.287	26.213	32.787
848	29.651	3.264	26.387	32.915
849	29.578	3.252	26.326	32.830
850	29.767	3.284	26.483	33.051
851	29.560	3.249	26.311	32.809
852	29.494	3.269	26.225	32.763
853	29.305	3.245	26.060	32.550
854	29.130	3.190	25.940	32.320
855	28.955	3.200	25.755	32.155
856	28.976	3.234	25.742	32.210
857	29.044	3.341	25.703	32.385
858	29.213	3.574	25.639	32.787
859	29.516	3.691	25.825	33.207
860	29.773	3.934	25.839	33.707
861	30.033	4.127	25.906	34.160
862	30.039	4.146	25.893	34.185
863	29.826	4.170	25.656	33.996
864	29.947	4.197	25.750	34.144
865	29.907	4.281	25.626	34.188
866	30.285	4.441	25.844	34.726
867	30.484	4.578	25.906	35.062
868	30.353	4.649	25.704	35.002
869	30.279	4.743	25.536	35.022
870	30.332	4.836	25.496	35.168
871	30.287	4.882	25.405	35.169
872	30.045	4.884	25.161	34.929
873	29.875	4.955	24.920	34.830
874	29.707	4.962	24.745	34.669
875	29.782	4.970	24.812	34.752
876	29.494	4.893	24.601	34.387
877	29.407	4.871	24.536	34.278
878	29.101	4.892	24.209	33.993
879	28.941	4.906	24.035	33.847
880	28.587	4.909	23.678	33.496
881	28.797	5.037	23.760	33.834
882	28.788	5.213	23.575	34.001
883	28.906	5.366	23.540	34.272
884	29.006	5.181	23.825	34.187
885	29.203	5.145	24.058	34.348
886	28.917	5.131	23.786	34.048
887	28.849	5.156	23.693	34.005
888	28.659	5.113	23.546	33.772
889	28.592	5.055	23.537	33.647
890	28.685	5.073	23.612	33.758
891	29.083	4.912	24.171	33.995
892	29.161	4.972	24.189	34.133
893	29.025	4.943	24.082	33.968
894	29.032	4.937	24.095	33.969
895	28.870	4.896	23.974	33.766
896	28.674	4.920	23.754	33.594
897	28.949	5.061	23.888	34.010
898	28.781	5.061	23.720	33.842
899	29.517	4.838	24.679	34.355
900	29.825	4.963	24.862	34.788
901	30.360	5.094	25.266	35.454
902	30.512	5.124	25.388	35.636
903	30.240	5.156	25.084	35.396
904	29.995	5.223	24.772	35.218
905	29.848	5.184	24.664	35.032
906	29.969	4.827	25.142	34.796
907	29.870	4.877	24.993	34.747
908	29.432	4.854	24.578	34.286
909	29.577	4.915	24.662	34.492
910	29.455	4.477	24.978	33.932
911	29.297	4.457	24.840	33.754
912	29.118	4.404	24.714	33.522
913	29.158	4.489	24.669	33.647
914	29.195	4.725	24.470	33.920
915	29.325	4.777	24.548	34.102
916	29.258	4.850	24.408	34.108
917	29.097	4.869	24.228	33.966
918	29.299	4.675	24.624	33.974
919	29.393	4.704	24.689	34.097
920	29.597	4.667	24.930	34.264
921	29.804	4.737	25.067	34.541
922	29.889	4.746	25.143	34.635
923	29.766	4.708	25.058	34.474
924	29.742	4.711	25.031	34.453
925	29.412	4.599	24.813	34.011
926	29.253	4.136	25.117	33.389
927	28.982	4.077	24.905	33.059
928	28.862	4.055	24.807	32.917
929	29.324	4.167	25.157	33.491
930	29.336	4.284	25.052	33.620
931	29.252	4.362	24.890	33.614
932	28.922	4.371	24.551	33.293
933	28.610	4.413	24.197	33.023
934	28.569	4.511	24.058	33.080
935	28.607	4.523	24.084	33.130
936	28.805	4.155	24.650	32.960
937	28.781	4.182	24.599	32.963
938	29.299	4.332	24.967	33.631
939	29.109	4.405	24.704	33.514
940	29.208	4.507	24.701	33.715
941	29.157	4.622	24.535	33.779
942	29.041	4.675	24.366	33.716
943	29.020	4.725	24.295	33.745
944	28.937	4.724	24.213	33.661
945	28.906	4.702	24.204	33.608
946	29.026	4.749	24.277	33.775
947	29.045	5.026	24.019	34.071
948	29.153	5.114	24.039	34.267
949	29.212	5.107	24.105	34.319
950	28.975	5.180	23.795	34.155
951	28.926	4.709	24.217	33.635
952	28.723	4.715	24.008	33.438
953	28.583	4.749	23.834	33.332
954	28.769	5.056	23.713	33.825
955	28.816	5.239	23.577	34.055
956	28.889	5.270	23.619	34.159
957	29.123	4.888	24.235	34.011
958	28.946	4.865	24.081	33.811
959	28.692	4.800	23.892	33.492
960	28.394	4.743	23.651	33.137
961	28.617	4.769	23.848	33.386
962	28.932	4.605	24.327	33.537
963	29.144	4.680	24.464	33.824
964	29.419	4.663	24.756	34.082
965	29.313	4.522	24.791	33.835
966	29.416	4.307	25.109	33.723
967	29.383	4.293	25.090	33.676
968	29.344	4.306	25.038	33.650
969	29.437	4.336	25.101	33.773
970	29.492	4.436	25.056	33.928
971	29.392	4.711	24.681	34.103
972	29.395	4.717	24.678	34.112
973	29.563	4.708	24.855	34.271
974	29.397	4.859	24.538	34.256
975	29.252	4.832	24.420	34.084
976	29.286	4.946	24.340	34.232
977	29.441	5.051	24.390	34.492
978	29.367	5.062	24.305	34.429
979	29.100	5.089	24.011	34.189
980	28.922	5.048	23.874	33.970
981	29.129	5.013	24.116	34.142
982	29.042	4.817	24.225	33.859
983	29.112	4.854	24.258	33.966
984	29.212	4.878	24.334	34.090
985	29.109	4.870	24.239	33.979
986	29.139	4.963	24.176	34.102
987	29.157	5.080	24.077	34.237
988	29.172	5.096	24.076	34.268
989	29.021	5.075	23.946	34.096
990	29.078	5.183	23.895	34.261
991	28.708	5.284	23.424	33.992
992	28.553	5.248	23.305	33.801
993	28.564	5.160	23.404	33.724
994	28.587	5.162	23.425	33.749
995	28.809	5.159	23.650	33.968
996	29.326	5.273	24.053	34.599
997	29.118	5.228	23.890	34.346
998	29.315	4.824	24.491	34.139
999	29.222	4.810	24.412	34.032
1000	28.406	2.008	26.398	30.414
