Interval	Avg	CI=0.95	Limite Inferior	Limite Superior
176	25.733	5.707	20.026	31.440
177	25.894	5.544	20.350	31.438
178	25.765	5.462	20.303	31.227
179	25.910	5.342	20.568	31.252
180	25.861	5.412	20.449	31.273
181	26.111	5.304	20.807	31.415
182	26.338	5.556	20.782	31.894
183	26.467	5.400	21.067	31.867
184	26.497	5.182	21.315	31.679
185	26.304	5.220	21.084	31.524
186	26.399	5.085	21.314	31.484
187	26.495	5.016	21.479	31.511
188	26.839	5.144	21.695	31.983
189	26.821	5.081	21.740	31.902
190	26.797	5.107	21.690	31.904
191	26.782	5.060	21.722	31.842
192	26.631	5.034	21.597	31.665
193	26.572	4.985	21.587	31.557
194	26.357	4.505	21.852	30.862
195	26.574	4.452	22.122	31.026
196	26.348	4.448	21.900	30.796
197	26.727	4.573	22.154	31.300
198	26.979	4.750	22.229	31.729
199	26.997	4.837	22.160	31.834
200	26.993	4.879	22.114	31.872
201	27.015	4.985	22.030	32.000
202	26.915	5.093	21.822	32.008
203	26.862	5.126	21.736	31.988
204	27.278	5.299	21.979	32.577
205	27.794	5.304	22.490	33.098
206	27.964	5.142	22.822	33.106
207	27.953	4.942	23.011	32.895
208	28.234	4.582	23.652	32.816
209	28.019	4.570	23.449	32.589
210	27.930	4.613	23.317	32.543
211	27.956	4.675	23.281	32.631
212	27.643	4.672	22.971	32.315
213	27.721	4.736	22.985	32.457
214	27.654	4.812	22.842	32.466
215	28.115	5.020	23.095	33.135
216	27.970	4.984	22.986	32.954
217	27.939	4.956	22.983	32.895
218	27.681	5.085	22.596	32.766
219	27.707	5.057	22.650	32.764
220	27.401	4.926	22.475	32.327
221	27.175	4.857	22.318	32.032
222	27.087	4.801	22.286	31.888
223	27.086	4.936	22.150	32.022
224	27.103	4.931	22.172	32.034
225	27.195	4.526	22.669	31.721
226	27.474	4.606	22.868	32.080
227	27.480	4.595	22.885	32.075
228	27.764	4.361	23.403	32.125
229	27.677	4.347	23.330	32.024
230	27.579	4.266	23.313	31.845
231	27.480	4.251	23.229	31.731
232	27.412	4.368	23.044	31.780
233	27.706	3.951	23.755	31.657
234	27.843	4.074	23.769	31.917
235	27.726	4.279	23.447	32.005
236	27.895	4.404	23.491	32.299
237	28.187	4.600	23.587	32.787
238	28.391	4.791	23.600	33.182
239	28.439	4.780	23.659	33.219
240	28.277	4.778	23.499	33.055
241	28.119	4.436	23.683	32.555
242	27.979	4.295	23.684	32.274
243	27.762	4.220	23.542	31.982
244	27.741	4.196	23.545	31.937
245	27.833	4.227	23.606	32.060
246	28.045	4.254	23.791	32.299
247	28.296	4.336	23.960	32.632
248	28.509	4.345	24.164	32.854
249	28.832	4.047	24.785	32.879
250	28.725	3.931	24.794	32.656
251	28.821	3.885	24.936	32.706
252	28.660	3.911	24.749	32.571
253	28.637	3.705	24.932	32.342
254	28.951	3.617	25.334	32.568
255	29.034	3.655	25.379	32.689
256	29.471	3.774	25.697	33.245
257	29.791	3.842	25.949	33.633
258	30.035	3.732	26.303	33.767
259	30.097	3.787	26.310	33.884
260	29.959	3.656	26.303	33.615
261	30.281	3.747	26.534	34.028
262	30.349	3.802	26.547	34.151
263	30.454	3.368	27.086	33.822
264	30.479	3.362	27.117	33.841
265	30.600	3.360	27.240	33.960
266	30.486	3.291	27.195	33.777
267	30.351	3.246	27.105	33.597
268	30.049	3.222	26.827	33.271
269	29.719	3.200	26.519	32.919
270	29.324	3.094	26.230	32.418
271	29.475	3.118	26.357	32.593
272	29.589	3.180	26.409	32.769
273	29.899	3.154	26.745	33.053
274	29.987	3.179	26.808	33.166
275	30.211	3.275	26.936	33.486
276	30.397	3.307	27.090	33.704
277	30.635	3.478	27.157	34.113
278	30.476	3.476	27.000	33.952
279	30.407	3.471	26.936	33.878
280	30.542	3.526	27.016	34.068
281	30.413	3.569	26.844	33.982
282	30.463	3.542	26.921	34.005
283	30.745	3.625	27.120	34.370
284	30.701	3.423	27.278	34.124
285	30.556	3.369	27.187	33.925
286	30.473	3.161	27.312	33.634
287	30.135	3.081	27.054	33.216
288	29.785	3.051	26.734	32.836
289	29.516	3.081	26.435	32.597
290	29.502	3.100	26.402	32.602
291	29.554	3.131	26.423	32.685
292	29.472	3.292	26.180	32.764
293	29.782	3.412	26.370	33.194
294	30.084	3.697	26.387	33.781
295	30.237	3.707	26.530	33.944
296	30.248	3.713	26.535	33.961
297	30.036	3.648	26.388	33.684
298	29.797	3.580	26.217	33.377
299	29.442	3.580	25.862	33.022
300	29.393	3.598	25.795	32.991
301	29.607	3.660	25.947	33.267
302	29.882	3.701	26.181	33.583
303	29.775	3.694	26.081	33.469
304	29.646	3.729	25.917	33.375
305	29.504	3.680	25.824	33.184
306	29.632	3.762	25.870	33.394
307	29.550	3.858	25.692	33.408
308	29.399	4.019	25.380	33.418
309	29.158	4.078	25.080	33.236
310	29.106	4.106	25.000	33.212
311	28.897	4.177	24.720	33.074
312	28.734	4.188	24.546	32.922
313	28.921	4.033	24.888	32.954
314	28.820	4.057	24.763	32.877
315	29.129	4.125	25.004	33.254
316	29.068	4.162	24.906	33.230
317	29.158	4.191	24.967	33.349
318	29.255	4.256	24.999	33.511
319	29.144	4.242	24.902	33.386
320	28.831	4.175	24.656	33.006
321	29.108	4.296	24.812	33.404
322	29.278	4.356	24.922	33.634
323	29.108	4.263	24.845	33.371
324	29.257	3.870	25.387	33.127
325	29.268	3.852	25.416	33.120
326	29.360	3.379	25.981	32.739
327	29.346	3.383	25.963	32.729
328	29.539	3.460	26.079	32.999
329	29.618	3.754	25.864	33.372
330	29.523	3.541	25.982	33.064
331	29.681	3.565	26.116	33.246
332	29.405	3.521	25.884	32.926
333	29.481	3.518	25.963	32.999
334	29.620	3.549	26.071	33.169
335	29.851	3.513	26.338	33.364
336	29.716	3.458	26.258	33.174
337	29.883	3.418	26.465	33.301
338	29.798	3.377	26.421	33.175
339	29.692	3.343	26.349	33.035
340	30.073	3.451	26.622	33.524
341	30.268	3.496	26.772	33.764
342	30.650	3.737	26.913	34.387
343	30.760	3.865	26.895	34.625
344	30.886	4.026	26.860	34.912
345	31.020	4.192	26.828	35.212
346	30.900	4.331	26.569	35.231
347	30.821	4.300	26.521	35.121
348	30.633	4.261	26.372	34.894
349	30.400	4.206	26.194	34.606
350	30.179	3.926	26.253	34.105
351	30.186	3.644	26.542	33.830
352	30.341	3.666	26.675	34.007
353	30.648	3.589	27.059	34.237
354	30.744	3.212	27.532	33.956
355	30.794	3.215	27.579	34.009
356	30.635	3.192	27.443	33.827
357	30.465	3.166	27.299	33.631
358	30.443	3.300	27.143	33.743
359	30.656	3.381	27.275	34.037
360	30.826	3.461	27.365	34.287
361	30.837	3.622	27.215	34.459
362	31.060	3.368	27.692	34.428
363	30.927	3.333	27.594	34.260
364	30.589	3.236	27.353	33.825
365	30.251	3.219	27.032	33.470
366	30.272	3.218	27.054	33.490
367	30.209	3.396	26.813	33.605
368	30.158	3.416	26.742	33.574
369	30.099	3.398	26.701	33.497
370	30.320	3.492	26.828	33.812
371	30.160	3.524	26.636	33.684
372	29.930	3.489	26.441	33.419
373	29.858	3.340	26.518	33.198
374	30.092	3.477	26.615	33.569
375	30.208	3.339	26.869	33.547
376	30.263	2.911	27.352	33.174
377	30.238	2.861	27.377	33.099
378	30.439	2.426	28.013	32.865
379	30.582	2.457	28.125	33.039
380	30.621	2.498	28.123	33.119
381	30.487	2.649	27.838	33.136
382	30.230	2.745	27.485	32.975
383	29.976	2.774	27.202	32.750
384	30.213	2.813	27.400	33.026
385	30.504	2.822	27.682	33.326
386	30.384	2.793	27.591	33.177
387	30.101	2.800	27.301	32.901
388	30.149	2.858	27.291	33.007
389	30.146	2.816	27.330	32.962
390	30.036	2.838	27.198	32.874
391	29.976	2.834	27.142	32.810
392	29.814	2.794	27.020	32.608
393	29.981	2.853	27.128	32.834
394	29.832	2.742	27.090	32.574
395	29.602	2.693	26.909	32.295
396	29.569	2.679	26.890	32.248
397	29.833	2.487	27.346	32.320
398	30.314	2.489	27.825	32.803
399	30.399	2.454	27.945	32.853
400	31.062	2.170	28.892	33.232
401	30.917	2.194	28.723	33.111
402	30.743	2.153	28.590	32.896
403	30.735	2.163	28.572	32.898
404	30.547	2.222	28.325	32.769
405	30.539	2.311	28.228	32.850
406	30.379	2.315	28.064	32.694
407	30.169	2.385	27.784	32.554
408	30.086	2.417	27.669	32.503
409	30.030	2.415	27.615	32.445
410	30.104	2.553	27.551	32.657
411	30.524	2.655	27.869	33.179
412	30.489	2.527	27.962	33.016
413	30.334	2.491	27.843	32.825
414	30.181	2.562	27.619	32.743
415	30.070	2.574	27.496	32.644
416	29.965	2.547	27.418	32.512
417	30.007	2.566	27.441	32.573
418	30.169	2.586	27.583	32.755
419	30.485	2.722	27.763	33.207
420	30.644	2.740	27.904	33.384
421	30.689	2.657	28.032	33.346
422	30.523	2.514	28.009	33.037
423	30.463	2.339	28.124	32.802
424	30.659	2.289	28.370	32.948
425	30.649	2.282	28.367	32.931
426	30.683	2.123	28.560	32.806
427	30.780	1.813	28.967	32.593
428	31.087	1.855	29.232	32.942
429	31.024	1.420	29.604	32.444
430	31.011	1.457	29.554	32.468
431	30.826	1.429	29.397	32.255
432	30.619	1.555	29.064	32.174
433	30.496	1.509	28.987	32.005
434	30.352	1.539	28.813	31.891
435	30.267	1.504	28.763	31.771
436	30.190	1.332	28.858	31.522
437	30.276	1.382	28.894	31.658
438	30.193	1.582	28.611	31.775
439	30.453	1.651	28.802	32.104
440	30.462	1.701	28.761	32.163
441	30.313	1.772	28.541	32.085
442	30.485	1.898	28.587	32.383
443	30.273	1.880	28.393	32.153
444	30.161	1.912	28.249	32.073
445	30.057	1.882	28.175	31.939
446	30.380	2.016	28.364	32.396
447	30.300	1.941	28.359	32.241
448	30.493	1.940	28.553	32.433
449	30.639	2.005	28.634	32.644
450	30.662	1.976	28.686	32.638
451	30.825	2.021	28.804	32.846
452	30.862	2.079	28.783	32.941
453	30.876	1.858	29.018	32.734
454	30.633	1.716	28.917	32.349
455	30.668	1.507	29.161	32.175
456	30.688	1.502	29.186	32.190
457	30.582	1.443	29.139	32.025
458	30.410	1.375	29.035	31.785
459	30.239	1.306	28.933	31.545
460	30.253	1.256	28.997	31.509
461	30.305	1.090	29.215	31.395
462	30.384	1.089	29.295	31.473
463	30.711	1.135	29.576	31.846
464	30.776	1.075	29.701	31.851
465	30.761	1.046	29.715	31.807
466	30.774	1.172	29.602	31.946
467	30.647	1.125	29.522	31.772
468	30.951	1.272	29.679	32.223
469	30.884	1.256	29.628	32.140
470	31.150	1.358	29.792	32.508
471	31.040	1.321	29.719	32.361
472	31.360	1.429	29.931	32.789
473	31.281	1.377	29.904	32.658
474	31.269	1.136	30.133	32.405
475	31.064	995	30.069	32.059
476	30.761	1.166	29.595	31.927
477	30.622	1.172	29.450	31.794
478	30.831	1.266	29.565	32.097
479	30.758	1.192	29.566	31.950
480	30.739	1.188	29.551	31.927
481	30.527	1.147	29.380	31.674
482	30.521	1.202	29.319	31.723
483	30.337	1.142	29.195	31.479
484	30.183	1.067	29.116	31.250
485	29.950	1.000	28.950	30.950
486	29.966	1.125	28.841	31.091
487	30.080	1.082	28.998	31.162
488	29.947	1.016	28.931	30.963
489	30.251	1.250	29.001	31.501
490	30.359	1.237	29.122	31.596
491	30.240	1.105	29.135	31.345
492	29.945	1.074	28.871	31.019
493	30.252	1.055	29.197	31.307
494	30.310	1.168	29.142	31.478
495	30.448	1.185	29.263	31.633
496	30.357	1.165	29.192	31.522
497	30.374	1.054	29.320	31.428
498	30.728	798	29.930	31.526
499	30.735	855	29.880	31.590
500	30.756	929	29.827	31.685
501	30.542	1.191	29.351	31.733
502	30.383	1.242	29.141	31.625
503	30.376	1.346	29.030	31.722
504	30.212	1.407	28.805	31.619
505	30.206	1.315	28.891	31.521
506	30.145	1.259	28.886	31.404
507	30.114	1.138	28.976	31.252
508	30.447	1.093	29.354	31.540
509	30.304	1.102	29.202	31.406
510	30.456	1.157	29.299	31.613
511	30.337	1.042	29.295	31.379
512	30.338	1.096	29.242	31.434
513	30.876	1.314	29.562	32.190
514	30.841	1.337	29.504	32.178
515	30.847	1.253	29.594	32.100
516	30.696	1.211	29.485	31.907
517	30.590	1.170	29.420	31.760
518	30.495	1.178	29.317	31.673
519	30.379	1.175	29.204	31.554
520	30.594	1.492	29.102	32.086
521	30.392	1.580	28.812	31.972
522	30.198	1.615	28.583	31.813
523	29.950	1.582	28.368	31.532
524	29.793	1.593	28.200	31.386
525	29.879	1.686	28.193	31.565
526	29.965	1.873	28.092	31.838
527	30.187	1.921	28.266	32.108
528	30.231	2.056	28.175	32.287
529	30.014	2.091	27.923	32.105
530	30.251	2.349	27.902	32.600
531	30.059	2.417	27.642	32.476
532	30.037	2.537	27.500	32.574
533	29.864	2.685	27.179	32.549
534	29.652	2.733	26.919	32.385
535	29.817	2.887	26.930	32.704
536	29.743	2.885	26.858	32.628
537	29.801	2.959	26.842	32.760
538	29.896	3.007	26.889	32.903
539	29.846	3.008	26.838	32.854
540	29.576	3.030	26.546	32.606
541	29.387	3.006	26.381	32.393
542	29.317	3.047	26.270	32.364
543	29.279	3.042	26.237	32.321
544	29.261	2.872	26.389	32.133
545	29.297	2.955	26.342	32.252
546	29.395	3.130	26.265	32.525
547	29.411	3.195	26.216	32.606
548	29.506	3.359	26.147	32.865
549	29.340	3.417	25.923	32.757
550	29.138	3.521	25.617	32.659
551	29.019	3.541	25.478	32.560
552	28.678	3.558	25.120	32.236
553	28.681	3.506	25.175	32.187
554	29.133	3.650	25.483	32.783
