2018-04-06T16:54:29,578Z	11,172956
2018-04-06T16:54:29,715Z	15,027429
2018-04-06T16:54:29,819Z	14,923662
2018-04-06T16:54:29,903Z	14,845394
2018-04-06T16:54:30,363Z	14,381387
2018-04-06T16:54:30,616Z	14,131317
2018-04-06T16:54:30,864Z	15,886402
2018-04-06T16:54:30,870Z	15,873006
2018-04-06T16:54:30,898Z	15,861014
2018-04-06T16:54:31,366Z	15,381271
2018-04-06T16:54:31,863Z	14,881563
2018-04-06T16:54:32,362Z	14,384814
2018-04-06T16:54:32,613Z	14,135539
2018-04-06T16:54:32,884Z	13,867191
2018-04-06T16:54:32,940Z	13,828549
2018-04-06T16:54:33,044Z	13,727529
2018-04-06T16:54:33,363Z	13,385636
2018-04-06T16:54:33,706Z	13,067101
2018-04-06T16:54:34,089Z	12,673573
2018-04-06T16:54:34,365Z	12,386023
2018-04-06T16:54:34,383Z	12,370832
2018-04-06T16:54:34,871Z	11,875756
2018-04-06T16:54:35,366Z	11,378915
2018-04-06T16:54:35,410Z	11,334325
2018-04-06T16:54:35,618Z	11,126506
2018-04-06T16:54:35,763Z	10,980826
2018-04-06T16:54:36,348Z	10,411343
2018-04-06T16:54:36,431Z	10,31704
2018-04-06T16:54:36,510Z	10,234535
2018-04-06T16:54:36,617Z	10,126389
2018-04-06T16:54:36,816Z	9,927105
2018-04-06T16:54:36,868Z	9,876012
2018-04-06T16:54:37,050Z	13,692408
2018-04-06T16:54:37,156Z	13,586162
2018-04-06T16:54:37,363Z	13,381227
2018-04-06T16:54:37,506Z	13,235948
2018-04-06T16:54:37,613Z	13,130986
2018-04-06T16:54:37,931Z	12,814413
2018-04-06T16:54:38,208Z	12,534634
2018-04-06T16:54:38,369Z	12,3773
2018-04-06T16:54:38,626Z	12,121533
2018-04-06T16:54:39,117Z	12,12773
2018-04-06T16:54:39,153Z	13,590386
2018-04-06T16:54:39,256Z	13,48699
2018-04-06T16:54:39,613Z	13,134497
2018-04-06T16:54:39,863Z	12,884407
2018-04-06T16:54:40,363Z	12,386851
2018-04-06T16:54:40,617Z	12,136943
2018-04-06T16:54:41,113Z	11,636641
2018-04-06T16:54:41,363Z	11,385819
2018-04-06T16:54:41,613Z	11,135336
2018-04-06T16:54:41,863Z	10,885348
2018-04-06T16:54:42,363Z	10,385704
2018-04-06T16:54:42,613Z	10,134716
2018-04-06T16:54:42,865Z	9,882039
2018-04-06T16:54:43,108Z	9,637248
2018-04-06T16:54:43,317Z	9,485639
2018-04-06T16:54:43,524Z	9,236754
2018-04-06T16:54:43,863Z	8,883814
2018-04-06T16:54:44,118Z	8,631574
2018-04-06T16:54:44,453Z	10,307592
2018-04-06T16:54:44,546Z	10,20217
2018-04-06T16:54:44,662Z	10,106341
2018-04-06T16:54:44,856Z	9,890342
2018-04-06T16:54:44,936Z	9,839776
2018-04-06T16:54:45,409Z	9,359195
2018-04-06T16:54:45,436Z	9,355659
2018-04-06T16:54:45,505Z	9,249735
2018-04-06T16:54:45,887Z	8,884457
2018-04-06T16:54:46,363Z	8,384971
2018-04-06T16:54:46,618Z	8,134692
2018-04-06T16:54:47,140Z	7,633202
