0 19,626661
1 37,290663
2 49,053019
3 45,311455
4 20,469758
5 32,854471
6 114,524944
7 46,117946
8 28,902186
9 40,350497
10 69,834039
11 65,984032
12 65,172238
13 39,72427
14 92,056384
15 82,882109
16 48,132294
17 61,017836
18 81,025666
19 45,586947
20 28,43131
21 39,397245
22 24,001085
23 76,522533
24 68,535876
25 38,639693
26 48,314243
27 33,377185
28 48,721132
29 43,964578
30 20,149019
31 27,060125
32 23,371314
33 54,427827
34 17,490831
35 59,013244
36 29,463184
37 26,231226
38 15,488903
39 13,487936
40 26,520098
41 27,494443
42 17,487415
43 61,8022
44 15,251797
45 20,137841
46 11,504599
47 14,637806
48 15,294178
49 13,723141
50 3,769714
51 2,56159
52 11,946257
53 41,218263
54 9,813786
55 19,627572
56 11,776453
57 46,495034
58 21,410905
59 19,170983
60 79,663778
61 34,565675
62 46,811376
63 23,185396
64 42,10653
65 28,052818
66 16,95526
67 35,909536
68 33,507919
69 70,712796
70 31,002749
71 27,899475
72 25,717794
73 14,973087
74 31,044544
75 14,903228
76 25,575485
77 54,058805
78 24,524136
79 21,624321
80 12,745669
81 15,876704
82 25,26855
83 15,258414
84 65,903293
85 21,2729
86 18,277737
87 43,645128
88 24,187655
89 28,670099
90 48,103565
91 36,590616
92 110,351898
93 77,327204
94 79,093807
95 44,54073
96 41,290239
97 51,209192
98 23,65532
99 43,318935
100 29,031786
101 17,610466
102 53,99865
103 17,279672
104 39,945304
105 74,416953
106 23,300581
107 31,561042
108 68,410055 9,772865
109 45,041309 9,0082618
110 112,590904 12,510100444
111 43,490381 14,496793667
112 74,914355 14,982871
113 80,395924 16,0791848
114 31,097388 15,548694
115 92,966958 15,494493
116 30,532845 15,2664225
117 107,110015 15,301430714
118 69,137118 17,2842795
119 49,105789 16,368596333
120 46,089467 15,363155667
121 77,751955 15,550391
122 45,529959 15,176653
123 79,739905 15,947981
124 45,087083 15,029027667
125 42,597891 14,199297
126 39,550777 13,183592333
127 24,600512 12,300256
128 44,961072 11,240268
129 20,730352 10,365176
130 27,60021 9,20007
131 16,227679 8,1138395
132 21,831519 7,277173
133 24,975783 6,24394575
134 15,597 5,199
135 12,349171 4,116390333
136 14,2094 3,55235
137 16,959841 4,23996025
138 26,498824 5,2997648
139 26,781517 5,3563034
140 16,054696 5,351565333
141 12,652836 4,217612
142 26,993527 4,498921167
143 41,659851 5,951407286
144 49,279942 8,213323667
145 69,905003 11,650833833
146 76,690613 10,955801857
147 20,036766 10,018383
148 26,84335 8,947783333
149 101,004074 12,62550925
150 101,746893 16,9578155
151 88,23519 17,647038
152 49,597915 16,532638333
153 47,171487 15,723829
154 44,11315 14,704383333
155 27,610556 13,805278
156 38,424383 12,808127667
157 46,502426 11,6256065
158 53,166116 10,6332232
159 19,115976 9,557988
160 17,613851 8,8069255
161 23,431127 7,810375667
162 63,335022 9,047860286
163 28,649795 9,549931667
164 17,460609 8,7303045
165 30,948128 7,737032
166 12,966371 6,4831855
167 16,939071 5,646357
168 13,939805 4,646601667
169 7,079196 3,539598
170 40,66543 5,809347143
171 23,644508 5,911127
172 19,705948 6,568649333
173 16,315376 5,438458667
174 13,575321 4,525107
175 6,747834 3,373917
176 4,745035 2,3725175
177 68,221796 7,580199556
178 51,818085 10,363617
179 28,055787 9,351929
180 33,245332 8,311333
181 14,624373 7,3121865
182 24,925917 6,23147925
183 20,768486 5,1921215
184 27,3166 5,46332
185 42,418642 6,059806
186 64,072705 9,153243571
187 85,899831 12,271404429
188 36,635704 12,211901333
189 86,138529 12,305504143
190 42,556635 14,185545
191 86,653112 14,442185333
192 63,55085 15,8877125
193 29,628467 14,8142335
194 55,292181 13,82304525
195 25,886298 12,943149
196 36,037807 12,012602333
197 60,949794 12,1899588
198 35,815261 11,938420333
199 32,835943 10,945314333
200 29,343492 9,781164
201 26,342717 8,780905667
202 23,842775 7,947591667
203 20,591558 6,863852667
204 22,688657 5,67216425
205 9,57169 4,785845
206 26,642321 5,3284642
207 45,807022 7,634503667
208 66,111802 9,444543143
209 40,556061 10,13901525
210 67,099891 11,183315167
211 32,183734 10,727911333
212 70,215304 11,702550667
213 139,925278 15,547253111
214 70,157711 17,53942775
215 33,248259 16,6241295
216 31,253333 15,6266665
217 109,330224 15,618603429
218 69,97092 17,49273
219 69,066279 17,26656975
220 52,292588 17,430862667
221 103,623723 17,2706205
222 34,612911 17,3064555
223 32,959541 16,4797705
224 15,730302 15,730302
225 122,858875 15,357359375
226 45,835979 15,278659667
227 28,888016 14,444008
228 39,845036 13,281678667
229 24,498588 12,249294
230 33,844631 11,281543667
231 31,046463 10,348821
232 27,688689 9,229563
233 51,214121 10,2428242
234 51,356326 10,2712652
235 49,540583 12,38514575
236 33,510725 11,170241667
237 20,181319 10,0906595
238 18,434964 9,217482
239 24,48677 8,162256667
240 14,11903 7,059515
241 11,975927 5,9879635
242 22,072424 5,518106
243 55,166272 7,880896
244 21,113459 7,037819667
245 30,037774 7,5094435 
246 42,624479 8,5248958
247 65,35036 9,335765714
248 44,095252 11,023813
249 52,633946 10,5267892
250 32,904364 10,968121333
251 52,870556 10,5741112
252 106,114095 13,264261875
253 68,445212 13,6890424
254 67,828849 13,5657698
255 96,743133 16,1238555
256 129,558093 18,508299
257 78,197554 19,5493885
258 55,859479 18,619826333
259 74,062615 18,51565375
260 39,010508 19,505254
261 126,669704 21,111617333
262 130,653714 21,775619
263 64,221306 21,407102
264 61,534992 20,511664 
265 39,028676 19,514338
266 188,763184 20,973687111 
267 46,556174 23,278087
268 119,63284 23,926568
269 69,729395 23,243131667
270 67,230514 22,410171333
271 42,495671 21,2478355 
272 60,729187 20,243062333 
273 99,397967 19,8795934
274 40,672926 20,336463
275 116,024902 19,337483667
276 73,792529 18,44813225
277 68,713989 17,17849725
278 82,002991 16,4005982
279 45,843116 15,281038667
280 42,589409 14,196469667
281 26,924121 13,4620605
282 24,869807 12,4349035
283 22,930811 11,4654055
284 31,072225 10,357408333
285 18,431069 9,2155345
286 25,144708 8,381569333
287 21,753629 7,251209667
288 12,681268 6,340634
289 16,357998 5,452666
290 13,143311 4,381103667
291 9,642349 3,214116333
292 61,58256 7,69782
293 45,483637 9,0967274
294 16,38661 8,193305
295 21,460798 7,153599333
296 18,700913 6,233637667
297 16,20838 5,402793333
298 16,885301 4,22132525
299 6,142405 3,0712025
300 4,642198 2,321099
301 3,708168 1,236056
302 15,98247 2,663745
303 6,377797 3,1888985
304 51,005041 5,667226778
305 35,041654 7,0083308
306 37,572657 7,5145314
307 21,054073 7,018024333
308 18,305323 6,101774333
309 25,643457 6,41086425
310 51,183145 7,311877857
311 21,053743 7,017914333
312 23,325972 5,831493
313 18,681021 4,67025525
314 15,605066 3,9012665
315 6,050953 3,0254765
316 4,057014 2,028507
317 43,801224 5,475153
318 44,83908 7,47318
319 37,145275 7,429055
320 70,591656 10,084522286
321 32,063787 10,687929
322 45,081932 11,270483
323 113,657295 14,207161875
324 31,214383 15,6071915
325 43,563823 14,521274333
326 75,778088 15,1556176
327 57,823495 14,45587375
328 39,993094 13,331031333
329 37,76637 12,58879
330 34,51859 11,506196667
331 31,268304 10,422768
332 37,889813 9,47245325
333 33,558246 8,3895615
334 14,658497 7,3292485
335 19,263884 6,421294667
336 10,680081 5,3400405
337 16,786338 4,1965845
338 10,524111 3,508037
339 4,440688 2,220344
340 61,488974 5,589906727
341 41,035876 10,258969
342 65,300014 10,883335667
343 41,032293 10,25807325
344 40,635278 10,1588195
345 84,267846 12,038263714
346 52,835389 13,20884725
347 110,990902 13,87386275
348 38,912216 12,970738667
349 53,918126 13,4795315
350 93,963806 15,660634333
351 31,706097 15,8530485
352 77,971052 15,5942104 
353 118,893342 16,984763143
354 66,939631 16,73490775
355 31,829692 15,914846
356 30,076605 15,0383025
357 64,211518 16,0528795
358 59,065046 14,7662615
359 56,760394 14,1900985
360 30,147333 15,0736665
361 123,656201 15,457025125 
362 67,205582 16,8013955
363 47,579782 15,859927333
364 77,733395 15,546679
365 46,930766 15,643588667
366 29,597645 14,7988225 
367 27,71211 13,856055
368 25,712701 12,8563505
369 35,562981 11,854327
370 42,729192 10,682298
371 19,472538 9,736269
372 51,665042 10,3330084
373 29,224863 9,741621
374 43,691745 8,738349
375 30,399401 7,59985025
376 19,725991 6,575330333
377 11,637723 5,8188615
378 13,97293 4,657643333
379 27,496043 5,4992086
380 63,776607 7,972075875
381 38,330005 9,58250125
382 59,484688 9,914114667
383 57,893503 11,5787006
384 94,718151 13,531164429
385 40,353296 13,451098667
386 37,089067 12,363022333
387 77,02223 12,837038333
388 24,733202 12,366601
389 22,605939 11,3029695
390 62,188853 12,4377706
391 33,867755 11,289251667  
392 58,537651 11,7075302
393 33,754011 11,251337
394 20,477 10,2385  
395 46,379281 9,2758562
396 16,842886 8,421443
397 67,758823 9,679831857
398 78,141075 13,0235125
399 52,035006 13,0087515 
400 36,319355 12,106451667
401 36,319355 12,106451667
402 22,291444 11,145722
403 61,059572 12,2119144
404 47,762291 11,94057275
405 77,831018 12,971836333
406 60,187623 15,04690575
407 55,953474 13,9883685
408 73,0837 14,61674
409 41,329395 13,776465
410 39,519251 13,173083667
411 36,275819 12,091939667
412 33,026207 11,008735667
413 48,454972 12,113743
414 57,833544 11,5667088
415 47,696364 11,924091
