Interval	Avg	Std	CI=0.95	Min	Median	Max
  127 --   128	24.523	8.899	11.049	7.277	28.662	30.901
  128 --   129	24.510	9.241	11.474	6.494	28.642	31.531
  129 --   130	24.251	9.219	11.447	6.351	28.771	30.964
  130 --   131	24.196	8.862	11.004	7.159	29.084	31.294
  131 --   132	24.886	9.544	11.851	6.571	30.822	31.786
  132 --   133	24.677	8.820	10.952	7.805	29.829	31.687
  133 --   134	25.436	8.434	10.472	10.054	29.224	32.507
  134 --   135	25.525	8.274	10.274	10.730	30.982	32.206
  135 --   136	25.854	7.819	9.708	11.843	30.703	32.666
  136 --   137	25.563	8.054	10.000	10.706	29.703	32.210
  137 --   138	25.347	7.552	9.377	10.860	28.534	31.612
  138 --   139	25.365	7.363	9.142	11.211	27.526	32.179
  139 --   140	25.495	7.851	9.748	10.090	28.976	31.080
  140 --   141	25.080	7.517	9.334	10.391	27.762	31.303
  141 --   142	24.764	7.584	9.417	10.040	28.203	31.132
  142 --   143	24.741	8.165	10.138	8.821	29.624	30.058
  143 --   144	24.722	8.373	10.397	8.614	28.613	31.559
  144 --   145	24.607	9.056	11.244	7.398	29.092	32.075
  145 --   146	24.517	9.530	11.833	6.676	29.316	32.136
  146 --   147	24.404	10.581	13.138	4.680	31.563	32.125
  147 --   148	23.683	10.135	12.584	4.902	30.570	31.083
  148 --   149	23.885	10.460	12.988	4.833	30.812	32.295
  149 --   150	23.911	10.432	12.953	4.044	30.708	31.143
  150 --   151	23.395	9.801	12.169	4.981	29.428	31.244
  151 --   152	23.993	9.201	11.424	7.365	30.451	31.085
  152 --   153	24.023	7.655	9.504	10.981	29.639	30.075
  153 --   154	23.943	7.732	9.600	10.443	28.794	31.312
  154 --   155	23.649	8.346	10.363	8.757	29.477	30.095
  155 --   156	23.070	8.438	10.478	8.389	28.773	29.885
  156 --   157	22.806	8.561	10.630	8.235	28.718	30.130
  157 --   158	23.007	8.383	10.408	8.026	29.016	29.352
  158 --   159	23.530	8.164	10.137	8.329	28.052	30.421
  159 --   160	23.561	7.765	9.642	9.592	28.046	30.581
  160 --   161	23.476	8.224	10.212	9.100	27.763	31.221
  161 --   162	23.157	8.357	10.376	8.826	27.546	31.084
  162 --   163	23.014	8.044	9.988	9.351	28.289	30.268
  163 --   164	23.366	8.453	10.496	9.029	29.255	30.285
  164 --   165	23.604	8.721	10.829	9.185	30.226	30.563
  165 --   166	22.853	8.700	10.803	8.733	29.157	30.002
  166 --   167	23.544	8.824	10.956	9.508	28.416	32.059
  167 --   168	23.226	9.006	11.183	8.358	28.310	31.287
  168 --   169	23.219	9.979	12.390	7.263	28.273	33.226
  169 --   170	23.173	10.246	12.722	6.381	29.181	32.979
  170 --   171	22.387	10.256	12.734	5.321	28.451	32.539
  171 --   172	22.476	10.349	12.850	4.437	27.347	32.221
  172 --   173	22.509	10.262	12.742	4.393	27.945	32.278
  173 --   174	22.313	9.863	12.246	5.340	27.411	31.235
  174 --   175	22.758	9.620	11.945	6.435	28.616	30.831
  175 --   176	22.480	9.300	11.548	6.064	27.704	30.819
  176 --   177	22.507	9.508	11.805	5.350	26.704	30.613
  177 --   178	22.937	8.971	11.138	6.575	25.840	31.348
  178 --   179	23.075	8.589	10.664	7.391	25.334	32.085
  179 --   180	23.234	9.215	11.442	5.980	26.149	32.416
  180 --   181	23.351	8.083	10.036	8.561	26.724	31.406
  181 --   182	23.126	7.706	9.568	8.695	25.686	30.769
  182 --   183	22.916	7.431	9.227	8.753	25.583	29.610
  183 --   184	22.901	7.760	9.635	8.437	25.790	30.416
  184 --   185	22.863	7.031	8.730	9.956	26.627	29.087
  185 --   186	23.079	6.889	8.554	10.431	25.596	29.954
  186 --   187	22.550	7.275	9.033	9.195	25.210	30.052
  187 --   188	22.988	7.425	9.220	9.890	27.210	29.348
  188 --   189	23.785	8.030	9.971	9.194	26.850	31.782
