Interval	Avg	Std	CI=0.95	Min	Median	Max
  213 --   214	24.260	8.273	10.272	8.656	28.074	32.255
  214 --   215	24.341	7.700	9.560	10.138	28.683	31.524
  215 --   216	24.588	6.858	8.516	11.646	27.864	30.612
  216 --   217	24.154	6.861	8.519	11.104	26.961	30.000
  217 --   218	24.591	7.206	8.947	10.920	28.097	31.087
  218 --   219	25.262	7.354	9.131	11.540	29.067	31.477
  219 --   220	25.570	6.612	8.210	13.524	29.917	31.027
  220 --   221	25.905	6.371	7.911	14.307	29.975	30.794
  221 --   222	26.452	6.136	7.619	15.687	30.675	31.334
  222 --   223	26.044	6.130	7.611	15.191	30.125	30.930
  223 --   224	25.475	6.189	7.684	14.048	28.864	30.904
  224 --   225	25.714	6.841	8.495	13.029	29.721	30.927
  225 --   226	24.968	6.760	8.393	12.120	29.282	29.668
  226 --   227	25.522	7.066	8.773	11.714	29.407	30.188
  227 --   228	25.750	7.136	8.860	12.229	30.017	31.572
  228 --   229	24.899	7.110	8.828	11.313	28.616	30.895
  229 --   230	25.198	7.303	9.068	11.531	28.942	31.922
  230 --   231	25.327	5.984	7.430	14.717	29.085	30.472
  231 --   232	25.601	6.360	7.896	14.194	29.024	30.873
  232 --   233	26.184	7.111	8.830	12.628	30.698	31.283
  233 --   234	25.535	7.273	9.031	11.348	29.709	30.577
  234 --   235	25.652	7.780	9.660	10.686	30.240	31.032
  235 --   236	24.853	8.061	10.009	9.392	29.590	30.645
  236 --   237	24.187	8.415	10.449	8.084	29.644	29.870
  237 --   238	24.152	9.012	11.190	7.308	29.867	31.032
  238 --   239	23.553	9.381	11.648	6.159	29.380	31.469
  239 --   240	23.526	10.045	12.473	5.213	29.759	31.978
  240 --   241	22.964	10.346	12.847	4.143	29.658	30.877
  241 --   242	23.055	11.258	13.979	3.027	30.724	32.008
  242 --   243	23.248	10.938	13.581	4.207	30.992	32.376
  243 --   244	23.089	10.477	13.009	4.498	30.119	32.106
  244 --   245	23.604	10.827	13.444	3.623	30.337	32.479
  245 --   246	23.063	10.191	12.653	4.530	29.677	31.770
  246 --   247	23.377	9.722	12.072	6.267	30.352	31.153
  247 --   248	23.508	9.479	11.770	7.540	29.761	32.630
  248 --   249	22.870	9.250	11.485	7.543	29.012	31.707
  249 --   250	23.210	9.035	11.218	8.784	29.982	30.956
  250 --   251	23.142	8.442	10.482	10.678	28.740	30.651
  251 --   252	23.466	8.133	10.099	12.654	29.360	31.166
  252 --   253	23.337	8.756	10.871	11.749	29.833	31.166
  253 --   254	22.507	8.928	11.086	10.675	28.870	30.536
  254 --   255	22.770	9.300	11.547	11.256	29.260	31.047
  255 --   256	22.878	8.638	10.726	12.010	29.643	30.224
  256 --   257	23.127	8.555	10.623	11.407	29.310	30.685
  257 --   258	23.011	8.616	10.699	10.382	28.919	30.833
  258 --   259	22.598	9.124	11.329	9.549	28.798	30.841
  259 --   260	22.522	9.617	11.941	9.357	28.172	31.503
  260 --   261	22.899	9.324	11.577	11.389	29.863	30.959
  261 --   262	22.900	10.078	12.513	10.455	30.110	32.053
  262 --   263	22.184	9.826	12.201	9.323	29.023	30.775
  263 --   264	22.573	9.825	12.199	8.686	28.767	31.714
  264 --   265	22.977	9.767	12.127	10.386	30.787	31.040
  265 --   266	22.942	8.601	10.680	12.073	29.845	30.141
  266 --   267	22.690	8.876	11.021	11.576	29.826	30.076
  267 --   268	22.519	9.412	11.687	10.777	29.831	30.598
  268 --   269	21.646	9.190	11.411	10.247	29.107	29.172
  269 --   270	22.020	9.584	11.900	9.006	29.371	30.041
  270 --   271	21.408	9.990	12.405	8.037	28.899	29.988
  271 --   272	21.501	10.469	12.999	7.020	28.511	31.786
  272 --   273	21.792	10.342	12.841	6.242	28.531	32.553
  273 --   274	21.024	10.651	13.225	5.033	28.113	31.892
  274 --   275	21.214	11.330	14.068	4.504	29.529	30.947
  275 --   276	21.312	11.123	13.811	5.188	29.748	31.238
  276 --   277	21.273	11.525	14.310	4.110	30.262	30.782
  277 --   278	21.392	11.424	14.185	3.276	29.853	31.416
  278 --   279	20.928	11.442	14.207	2.873	29.052	30.978
  279 --   280	20.898	11.462	14.232	3.403	29.800	30.460
  280 --   281	21.466	11.423	14.183	5.166	30.054	31.063
  281 --   282	21.731	11.342	14.084	6.681	30.761	31.268
  282 --   283	21.792	11.748	14.587	6.945	30.715	32.310
  283 --   284	21.710	11.295	14.025	7.162	29.739	32.200
  284 --   285	22.683	11.272	13.996	7.969	30.907	33.547
  285 --   286	22.262	11.027	13.692	7.862	29.892	33.720
  286 --   287	21.572	11.176	13.876	6.866	29.526	32.501
  287 --   288	21.171	11.427	14.188	5.772	29.826	31.551
  288 --   289	20.495	11.151	13.845	4.754	28.867	30.501
  289 --   290	21.241	11.326	14.063	4.507	30.067	30.814
  290 --   291	21.229	11.688	14.513	3.553	28.861	31.820
  291 --   292	21.894	11.224	13.936	6.461	28.978	32.329
  292 --   293	21.907	11.142	13.835	7.700	30.249	31.643
  293 --   294	21.123	11.397	14.151	6.186	30.035	30.605
  294 --   295	22.235	10.532	13.077	7.733	30.398	31.065
  295 --   296	22.146	9.815	12.186	8.327	29.659	30.889
  296 --   297	22.208	10.669	13.247	7.453	30.544	31.166
  297 --   298	21.477	10.861	13.485	6.409	30.032	30.794
  298 --   299	21.078	10.599	13.160	6.322	29.219	30.335
  299 --   300	21.761	11.325	14.062	6.243	29.934	31.635
  300 --   301	21.272	11.524	14.309	5.576	28.825	32.010
  301 --   302	20.987	11.600	14.403	5.780	29.005	31.547
  302 --   303	20.918	11.491	14.268	6.848	28.787	31.230
  303 --   304	20.942	11.069	13.744	5.873	27.756	31.004
  304 --   305	21.927	11.129	13.818	5.077	29.458	31.919
  305 --   306	21.621	11.312	14.046	4.030	29.897	31.358
  306 --   307	21.894	11.354	14.098	3.189	30.433	31.198
  307 --   308	22.759	10.247	12.723	5.560	29.900	31.321
  308 --   309	22.470	9.687	12.027	6.818	28.909	31.079
  309 --   310	22.321	10.466	12.995	5.621	29.574	32.249
  310 --   311	21.780	10.333	12.831	5.843	28.832	31.046
  311 --   312	22.711	10.317	12.810	7.900	30.052	31.628
  312 --   313	22.748	9.717	12.066	10.185	29.557	31.339
  313 --   314	22.458	10.032	12.456	9.877	29.914	31.697
  314 --   315	22.318	10.485	13.019	9.328	29.363	32.091
  315 --   316	22.199	10.530	13.074	8.824	29.792	32.216
  316 --   317	22.405	10.037	12.463	8.988	29.172	32.372
  317 --   318	22.607	9.755	12.112	10.481	29.731	31.977
  318 --   319	22.619	10.115	12.560	9.547	30.030	32.136
  319 --   320	22.414	10.841	13.460	8.498	30.656	32.061
  320 --   321	21.733	10.974	13.626	7.531	29.798	31.474
  321 --   322	22.605	9.877	12.264	9.413	29.973	31.015
  322 --   323	23.137	9.123	11.327	10.965	29.878	30.976
  323 --   324	22.504	9.267	11.507	10.479	29.726	30.683
  324 --   325	22.364	9.950	12.354	9.394	30.133	31.059
  325 --   326	22.220	10.412	12.928	8.511	30.271	31.051
  326 --   327	23.111	10.400	12.914	8.837	31.034	32.016
  327 --   328	23.120	10.533	13.079	8.512	30.811	32.435
  328 --   329	22.822	10.606	13.170	7.514	30.997	32.038
  329 --   330	22.592	10.695	13.280	6.557	30.887	31.664
  330 --   331	22.085	10.085	12.523	6.729	29.550	30.900
  331 --   332	23.413	9.466	11.753	10.499	30.952	31.316
  332 --   333	23.311	8.558	10.626	11.293	29.853	30.781
  333 --   334	23.485	8.346	10.363	10.919	29.885	30.549
  334 --   335	24.625	7.667	9.519	13.640	29.978	31.467
  335 --   336	23.692	7.864	9.764	12.350	29.244	31.033
  336 --   337	23.472	8.405	10.437	11.928	27.863	32.002
  337 --   338	23.310	7.930	9.847	12.543	28.555	30.933
  338 --   339	23.209	7.162	8.893	13.497	27.662	30.137
  339 --   340	23.661	7.769	9.647	13.428	29.136	30.818
  340 --   341	23.859	6.971	8.656	13.640	28.926	29.936
  341 --   342	24.567	6.613	8.211	15.310	29.339	30.598
  342 --   343	24.969	6.602	8.197	15.383	30.027	30.438
  343 --   344	24.501	6.550	8.133	15.329	29.560	29.945
  344 --   345	24.971	6.983	8.671	15.470	30.086	30.975
  345 --   346	25.086	6.702	8.322	15.749	29.888	31.037
  346 --   347	26.266	5.923	7.354	17.569	29.764	32.185
  347 --   348	26.265	5.753	7.144	16.959	29.868	31.441
  348 --   349	26.723	5.269	6.542	18.586	28.942	32.002
  349 --   350	26.846	4.690	5.824	19.845	29.303	31.363
  350 --   351	26.841	3.806	4.726	21.549	29.109	30.639
  351 --   352	28.002	4.043	5.021	20.514	29.927	31.318
  352 --   353	27.088	4.094	5.083	19.341	29.037	30.357
  353 --   354	26.572	4.195	5.209	18.781	29.373	29.785
  354 --   355	27.276	4.028	5.001	19.447	28.242	30.452
  355 --   356	27.369	3.499	4.345	20.550	29.140	29.776
  356 --   357	27.633	3.215	3.992	21.952	28.798	30.651
  357 --   358	28.398	3.360	4.172	22.431	29.196	31.828
  358 --   359	28.604	3.454	4.289	22.325	29.061	32.344
  359 --   360	28.824	3.368	4.182	22.637	29.918	31.884
  360 --   361	28.439	3.539	4.394	21.555	30.020	31.082
  361 --   362	28.625	3.444	4.276	21.958	30.207	31.648
  362 --   363	28.717	2.584	3.208	23.731	29.606	31.175
