Interval	Avg	Std	CI=0.95	Min	Median	Max
  132 --   133	22.357	7.986	8.381	10.098	26.142	29.650
  133 --   134	22.339	8.139	8.541	9.063	25.847	30.046
  134 --   135	22.437	7.602	7.977	9.619	25.890	29.379
  135 --   136	22.092	7.467	7.836	8.804	25.756	28.551
  136 --   137	21.762	7.309	7.670	9.207	25.257	28.860
  137 --   138	21.629	7.095	7.446	10.546	24.236	28.780
  138 --   139	21.276	7.420	7.787	9.968	23.820	29.157
  139 --   140	21.989	7.384	7.749	11.290	24.307	30.233
  140 --   141	21.942	7.072	7.421	12.097	24.466	30.269
  141 --   142	22.407	7.119	7.471	10.898	23.915	30.093
  142 --   143	22.557	7.056	7.404	11.365	24.433	30.552
  143 --   144	23.180	7.081	7.431	13.044	25.422	32.357
  144 --   145	23.200	6.990	7.336	12.152	25.467	31.296
  145 --   146	22.536	7.575	7.950	10.877	24.345	31.349
  146 --   147	22.100	7.576	7.951	9.793	23.791	31.218
  147 --   148	22.807	6.923	7.265	11.172	24.583	30.097
  148 --   149	23.207	6.724	7.056	13.120	25.251	30.322
  149 --   150	23.114	7.163	7.517	13.057	25.302	30.432
  150 --   151	21.992	7.125	7.478	11.795	24.206	29.285
  151 --   152	21.171	7.115	7.466	10.932	23.459	28.382
  152 --   153	21.438	7.672	8.052	9.956	23.349	29.455
  153 --   154	21.644	8.198	8.603	9.601	23.992	30.601
  154 --   155	21.530	8.004	8.400	10.125	24.556	29.450
  155 --   156	21.633	7.869	8.258	10.202	25.103	29.539
  156 --   157	21.708	8.221	8.628	9.241	24.526	30.920
  157 --   158	22.335	8.779	9.213	8.244	25.719	30.716
  158 --   159	22.498	8.590	9.015	8.582	25.340	31.282
  159 --   160	23.197	9.245	9.702	8.619	27.129	31.895
  160 --   161	23.518	8.712	9.143	9.302	27.493	31.449
  161 --   162	23.870	8.795	9.230	8.919	27.418	32.507
  162 --   163	24.057	8.923	9.364	8.493	28.323	32.185
  163 --   164	24.184	8.710	9.141	10.238	27.775	32.436
  164 --   165	23.516	8.713	9.144	9.858	27.263	31.459
  165 --   166	23.014	8.513	8.934	8.684	26.436	30.872
  166 --   167	22.971	8.267	8.676	9.467	26.570	30.765
  167 --   168	23.456	8.215	8.622	9.713	26.906	31.100
  168 --   169	23.380	7.981	8.375	9.831	26.504	31.017
  169 --   170	23.190	8.073	8.472	10.423	26.209	31.168
  170 --   171	22.781	7.951	8.344	9.699	25.505	30.235
  171 --   172	22.815	8.220	8.626	9.974	25.440	30.607
  172 --   173	22.046	8.099	8.499	9.873	24.484	30.250
  173 --   174	21.549	8.519	8.940	8.898	24.169	29.611
  174 --   175	21.720	9.313	9.773	7.842	24.557	31.519
  175 --   176	22.096	9.187	9.641	7.765	25.532	30.910
  176 --   177	22.073	8.460	8.878	9.305	24.417	30.608
  177 --   178	22.178	8.263	8.672	11.142	23.436	31.499
  178 --   179	21.937	8.224	8.631	9.917	23.053	30.923
  179 --   180	22.020	8.221	8.627	10.616	22.363	31.429
  180 --   181	21.468	8.319	8.730	10.132	21.656	30.894
  181 --   182	22.071	8.333	8.745	11.081	23.098	31.083
  182 --   183	22.718	8.088	8.488	11.958	23.708	32.237
  183 --   184	22.445	8.679	9.108	11.039	23.684	32.455
  184 --   185	21.878	8.939	9.381	10.053	23.527	31.293
  185 --   186	21.165	9.271	9.729	8.882	23.276	30.412
  186 --   187	21.106	9.203	9.658	7.870	22.409	30.932
  187 --   188	21.188	9.568	10.041	6.869	22.505	30.616
  188 --   189	21.008	9.825	10.311	5.791	22.387	31.546
  189 --   190	21.243	9.869	10.357	5.513	23.923	30.690
  190 --   191	21.228	9.747	10.229	6.513	23.637	31.152
  191 --   192	21.008	9.681	10.159	7.403	23.383	30.910
  192 --   193	20.905	9.888	10.377	6.861	22.617	31.418
  193 --   194	20.525	10.111	10.611	5.605	22.055	31.613
  194 --   195	20.644	10.005	10.500	6.913	21.663	31.308
  195 --   196	20.602	9.414	9.879	7.795	21.314	31.360
  196 --   197	20.706	9.351	9.813	7.221	20.879	31.182
  197 --   198	20.604	9.181	9.635	8.780	21.013	30.203
  198 --   199	21.135	9.047	9.494	10.703	21.410	31.265
  199 --   200	21.035	9.235	9.692	10.819	21.156	30.984
  200 --   201	21.343	8.935	9.377	10.647	21.727	32.166
  201 --   202	22.070	8.133	8.535	12.271	21.796	32.180
  202 --   203	21.899	8.217	8.623	12.837	21.814	31.194
  203 --   204	22.139	8.418	8.834	11.717	21.789	32.169
  204 --   205	21.841	8.472	8.890	10.844	22.692	31.163
  205 --   206	22.008	7.980	8.375	10.626	22.669	30.500
  206 --   207	21.937	7.460	7.829	11.944	22.201	29.911
  207 --   208	21.484	7.621	7.997	10.989	22.233	30.017
  208 --   209	21.113	7.579	7.954	10.412	22.028	29.162
  209 --   210	21.511	7.673	8.053	10.390	22.826	29.785
  210 --   211	21.876	7.954	8.347	10.124	23.506	31.294
  211 --   212	22.025	8.313	8.724	10.818	23.432	33.020
  212 --   213	22.105	8.214	8.620	11.828	23.828	33.325
  213 --   214	22.283	7.886	8.275	10.995	24.944	32.276
  214 --   215	21.601	7.933	8.325	9.993	24.484	31.074
  215 --   216	21.143	7.708	8.089	8.928	24.221	30.026
  216 --   217	21.429	7.296	7.657	9.629	23.550	30.161
  217 --   218	21.624	7.248	7.607	10.735	23.505	30.113
  218 --   219	21.600	7.313	7.674	9.943	24.049	29.200
  219 --   220	21.571	7.704	8.085	8.929	24.346	30.300
  220 --   221	21.290	7.799	8.185	7.738	24.176	30.457
  221 --   222	20.971	7.937	8.329	6.741	23.552	31.119
  222 --   223	20.538	8.177	8.581	5.739	23.444	31.326
  223 --   224	20.375	8.688	9.118	4.826	23.712	31.320
  224 --   225	19.963	8.292	8.702	6.101	22.784	31.239
  225 --   226	20.249	6.727	7.060	10.648	21.759	29.924
  226 --   227	20.394	6.686	7.017	11.860	20.863	30.519
  227 --   228	20.923	6.404	6.721	12.422	20.943	30.019
  228 --   229	21.377	6.473	6.793	12.988	21.665	31.279
  229 --   230	21.343	6.849	7.187	12.402	22.557	31.720
  230 --   231	20.717	6.659	6.988	11.898	21.770	31.138
  231 --   232	20.779	6.513	6.835	11.856	22.188	30.643
  232 --   233	21.692	7.011	7.358	10.894	23.940	31.237
  233 --   234	21.927	6.421	6.738	11.940	24.067	30.579
  234 --   235	21.902	7.174	7.529	10.771	24.617	31.293
  235 --   236	22.134	7.198	7.553	9.734	25.074	31.008
  236 --   237	22.239	6.721	7.053	11.030	24.752	31.200
  237 --   238	21.789	6.668	6.997	10.265	24.018	30.225
  238 --   239	22.188	6.802	7.138	10.743	24.582	30.570
  239 --   240	22.605	6.461	6.780	13.928	24.138	31.848
  240 --   241	23.103	6.062	6.362	14.986	22.985	32.238
  241 --   242	22.848	6.547	6.870	13.694	22.757	32.244
  242 --   243	22.670	6.156	6.460	12.921	23.049	31.337
  243 --   244	22.078	6.034	6.332	12.209	23.202	30.145
  244 --   245	21.816	5.741	6.024	12.714	22.155	30.632
  245 --   246	21.678	5.531	5.804	13.515	22.189	30.198
  246 --   247	22.477	5.613	5.891	14.945	23.237	30.109
  247 --   248	22.301	5.597	5.873	14.887	23.284	30.057
  248 --   249	22.418	6.187	6.493	13.803	24.309	31.304
  249 --   250	21.862	6.530	6.853	12.802	24.044	31.489
  250 --   251	20.993	6.665	6.995	11.842	23.004	31.007
  251 --   252	20.576	6.650	6.978	11.784	22.057	30.315
  252 --   253	20.622	6.327	6.639	10.861	22.219	30.023
  253 --   254	20.744	6.611	6.938	10.175	21.686	30.245
  254 --   255	21.524	6.615	6.942	11.113	21.386	30.513
  255 --   256	21.542	6.403	6.720	11.727	20.768	30.075
  256 --   257	21.321	6.243	6.552	12.587	20.583	30.385
  257 --   258	21.100	5.971	6.266	14.004	20.309	30.344
  258 --   259	21.161	5.846	6.135	13.833	20.956	30.552
  259 --   260	21.418	6.346	6.659	12.715	22.006	31.856
  260 --   261	22.007	5.976	6.272	13.534	22.452	31.017
  261 --   262	22.744	5.893	6.184	15.054	21.400	31.908
  262 --   263	22.663	5.360	5.625	16.093	21.653	31.026
  263 --   264	22.983	6.185	6.491	14.876	22.681	31.799
  264 --   265	22.981	6.614	6.941	13.872	23.575	31.173
  265 --   266	22.951	6.013	6.311	14.922	23.445	30.019
  266 --   267	22.918	6.293	6.604	14.345	23.431	30.749
  267 --   268	23.294	6.416	6.733	14.342	24.209	30.856
  268 --   269	23.718	5.759	6.044	15.803	24.999	29.964
  269 --   270	24.233	5.502	5.774	17.443	23.751	31.095
  270 --   271	24.584	5.975	6.271	17.781	24.783	31.086
  271 --   272	24.427	5.733	6.017	18.478	24.072	31.107
  272 --   273	24.404	5.431	5.699	17.367	24.774	30.187
  273 --   274	24.047	5.370	5.635	16.830	24.938	29.420
  274 --   275	23.662	5.607	5.884	16.922	23.900	30.015
  275 --   276	23.517	4.746	4.981	16.868	24.139	28.821
  276 --   277	23.308	4.379	4.595	17.874	23.041	28.372
  277 --   278	23.084	4.626	4.855	17.920	22.205	29.180
  278 --   279	22.775	4.894	5.136	17.774	21.887	29.954
  279 --   280	23.030	5.127	5.380	16.819	23.556	28.848
  280 --   281	23.220	5.872	6.163	15.236	24.452	30.601
  281 --   282	23.668	6.535	6.858	14.582	24.158	32.225
  282 --   283	23.153	6.605	6.932	13.850	23.589	31.068
  283 --   284	23.417	6.884	7.224	12.773	23.280	32.235
  284 --   285	24.037	6.739	7.072	14.725	24.089	31.997
  285 --   286	23.499	6.126	6.428	14.664	23.489	30.646
  286 --   287	23.356	6.236	6.544	13.797	23.773	31.218
  287 --   288	23.339	6.502	6.824	12.864	23.880	30.945
  288 --   289	22.936	6.508	6.830	11.817	24.339	30.025
  289 --   290	23.236	6.708	7.040	13.189	24.126	30.986
  290 --   291	23.508	6.548	6.872	14.182	23.361	31.243
  291 --   292	23.509	6.293	6.604	14.956	23.497	30.836
  292 --   293	23.520	6.639	6.967	13.706	23.839	31.482
  293 --   294	23.098	6.696	7.027	13.245	23.107	30.859
  294 --   295	23.406	6.444	6.763	15.827	22.111	32.079
  295 --   296	23.832	6.044	6.343	16.311	22.334	32.427
  296 --   297	23.501	6.235	6.544	15.830	22.144	31.858
  297 --   298	23.373	5.297	5.559	17.908	21.158	30.711
  298 --   299	22.974	5.007	5.254	17.831	21.078	30.225
  299 --   300	22.914	5.613	5.891	17.217	20.051	31.005
  300 --   301	22.748	4.894	5.136	18.352	20.337	29.952
  301 --   302	22.542	5.396	5.663	17.274	20.484	30.651
  302 --   303	21.991	5.728	6.011	16.374	19.942	29.822
  303 --   304	21.476	5.946	6.240	15.398	19.981	29.930
  304 --   305	21.432	6.807	7.144	14.261	20.068	29.928
  305 --   306	21.402	6.909	7.251	13.318	19.980	31.336
  306 --   307	21.320	7.511	7.882	12.391	18.847	31.423
  307 --   308	21.292	7.233	7.591	11.467	19.037	31.304
  308 --   309	21.061	6.775	7.110	11.053	19.949	29.882
  309 --   310	21.425	7.471	7.841	11.155	19.977	31.032
  310 --   311	21.958	6.508	6.830	12.143	20.661	30.293
  311 --   312	22.276	6.505	6.827	13.330	21.287	30.927
  312 --   313	21.929	6.874	7.214	12.374	21.015	30.877
  313 --   314	22.350	7.328	7.690	11.392	23.348	30.963
  314 --   315	21.856	7.668	8.047	10.263	23.104	30.604
  315 --   316	21.711	7.579	7.954	10.124	22.273	30.947
  316 --   317	21.833	7.522	7.894	11.213	21.460	31.614
  317 --   318	22.185	6.857	7.196	12.776	22.293	30.878
  318 --   319	22.385	6.606	6.932	13.051	22.943	30.912
  319 --   320	23.022	6.073	6.374	14.483	22.921	30.808
  320 --   321	23.311	5.424	5.692	15.755	23.137	30.049
  321 --   322	23.628	6.175	6.480	15.138	22.281	32.253
  322 --   323	23.375	6.279	6.590	14.419	22.343	31.431
  323 --   324	23.902	6.379	6.695	13.553	23.311	31.768
  324 --   325	24.652	6.457	6.776	14.519	24.633	32.589
  325 --   326	24.346	6.690	7.021	13.081	25.529	32.249
  326 --   327	25.316	5.180	5.437	16.755	25.261	31.568
  327 --   328	25.553	4.693	4.925	18.128	26.195	31.056
  328 --   329	25.911	4.364	4.579	19.541	26.579	31.324
  329 --   330	25.622	4.610	4.838	19.616	26.150	30.803
  330 --   331	25.360	4.705	4.938	19.823	25.280	31.102
  331 --   332	24.921	4.798	5.035	18.618	24.335	30.873
  332 --   333	24.748	4.411	4.629	18.809	24.562	30.408
  333 --   334	25.133	4.336	4.551	18.762	25.465	30.312
  334 --   335	25.534	4.206	4.414	19.886	25.464	31.067
  335 --   336	25.939	3.860	4.051	20.838	26.706	31.356
  336 --   337	25.525	3.900	4.093	20.017	25.536	31.128
  337 --   338	24.806	4.103	4.306	19.127	24.556	30.340
  338 --   339	24.724	3.605	3.784	20.143	23.499	29.860
  339 --   340	24.623	3.495	3.668	20.760	23.179	29.809
  340 --   341	24.468	3.247	3.407	20.670	22.927	28.959
  341 --   342	24.767	3.585	3.762	19.874	23.428	29.884
  342 --   343	24.831	3.841	4.030	20.523	23.441	30.057
  343 --   344	25.735	4.181	4.387	21.219	23.536	32.305
  344 --   345	25.936	4.588	4.815	21.953	23.301	33.236
  345 --   346	26.216	4.276	4.487	22.577	23.800	33.074
  346 --   347	26.142	3.876	4.068	22.162	24.110	31.938
  347 --   348	25.716	3.492	3.665	21.272	24.316	30.804
  348 --   349	26.551	3.803	3.991	23.198	24.529	32.423
  349 --   350	27.274	3.139	3.294	24.250	25.630	32.185
  350 --   351	27.261	2.723	2.858	24.177	26.252	31.141
  351 --   352	26.743	3.312	3.475	23.292	25.087	31.616
