Interval	Avg	Std	CI=0.95	Min	Median	Max
  150 --   151	23.890	7.108	8.825	11.185	25.341	31.736
  151 --   152	23.851	6.736	8.364	12.040	24.439	30.528
  152 --   153	23.461	6.475	8.039	12.623	23.322	30.276
  153 --   154	23.491	7.400	9.189	11.754	22.385	32.071
  154 --   155	22.948	7.865	9.765	10.639	21.717	31.656
  155 --   156	22.395	7.909	9.820	9.948	21.779	30.937
  156 --   157	22.951	7.922	9.836	8.598	24.902	30.388
  157 --   158	23.790	8.396	10.425	7.775	25.966	30.589
  158 --   159	22.741	8.427	10.464	6.736	24.986	29.788
  159 --   160	22.603	8.117	10.079	7.302	23.957	29.863
  160 --   161	23.046	7.583	9.416	9.314	23.213	30.270
  161 --   162	23.814	7.336	9.109	10.037	25.188	31.237
  162 --   163	24.117	8.135	10.101	8.952	25.633	32.471
  163 --   164	23.723	7.499	9.311	9.894	24.578	31.848
  164 --   165	23.423	7.979	9.908	8.666	24.978	31.802
  165 --   166	23.345	8.092	10.048	8.300	24.567	31.855
  166 --   167	23.878	7.928	9.844	8.975	25.188	32.189
  167 --   168	24.200	8.797	10.923	7.082	27.293	31.923
  168 --   169	24.002	9.336	11.592	5.740	27.454	31.476
  169 --   170	25.267	9.554	11.862	6.544	30.055	32.025
  170 --   171	25.066	8.038	9.981	9.344	28.937	30.934
  171 --   172	24.724	7.510	9.324	10.226	27.841	30.727
  172 --   173	24.729	6.999	8.691	11.549	26.852	30.675
  173 --   174	23.896	6.974	8.659	10.674	25.914	29.731
  174 --   175	24.056	7.565	9.393	9.793	25.062	30.756
  175 --   176	23.995	7.845	9.740	9.113	25.272	30.503
  176 --   177	23.792	7.507	9.321	9.539	24.965	30.634
  177 --   178	23.729	7.450	9.251	9.781	25.219	31.316
  178 --   179	23.925	6.377	7.918	12.194	24.205	29.986
  179 --   180	23.974	6.872	8.533	11.197	24.693	30.780
  180 --   181	24.408	6.775	8.413	11.961	25.012	30.660
  181 --   182	24.456	6.979	8.666	11.481	27.136	30.455
  182 --   183	23.915	7.040	8.741	10.857	26.274	30.327
  183 --   184	23.487	6.936	8.612	10.073	25.211	29.195
  184 --   185	23.007	7.008	8.702	9.660	24.401	29.689
  185 --   186	23.052	7.280	9.039	9.833	23.995	31.814
  186 --   187	22.455	7.720	9.586	8.740	24.264	32.393
  187 --   188	21.458	7.632	9.477	7.917	22.962	31.232
  188 --   189	21.158	7.863	9.764	6.692	21.897	30.220
  189 --   190	21.073	8.044	9.988	5.953	23.579	29.350
  190 --   191	20.741	8.754	10.870	4.684	22.598	30.480
  191 --   192	20.662	7.998	9.931	5.792	23.139	29.316
  192 --   193	20.677	8.337	10.352	4.925	22.737	29.741
  193 --   194	20.074	8.550	10.617	3.851	23.033	29.192
  194 --   195	21.031	8.388	10.415	5.478	23.457	30.402
  195 --   196	20.517	7.927	9.842	5.656	22.810	29.248
  196 --   197	20.439	8.726	10.835	4.751	21.810	31.404
  197 --   198	20.270	9.262	11.500	3.895	20.809	32.401
  198 --   199	20.317	9.642	11.972	2.842	23.011	32.198
  199 --   200	20.052	9.790	12.156	1.965	23.238	31.410
  200 --   201	20.722	10.292	12.780	0.810	24.427	30.534
  201 --   202	19.879	10.212	12.679	0.000	23.198	29.345
  202 --   203	19.877	10.077	12.512	0.386	22.622	29.455
  203 --   204	19.923	10.413	12.929	0.061	22.107	30.065
  204 --   205	19.391	10.288	12.775	0.000	21.290	30.199
  205 --   206	19.103	10.144	12.596	0.000	22.099	29.884
  206 --   207	20.094	10.237	12.710	1.697	22.921	33.100
  207 --   208	21.112	9.195	11.417	4.850	22.062	33.334
  208 --   209	20.996	8.159	10.131	6.822	21.363	32.183
  209 --   210	21.318	6.812	8.458	9.933	22.556	31.155
  210 --   211	21.037	6.679	8.292	9.507	21.905	30.196
  211 --   212	21.780	6.752	8.384	9.217	22.904	29.418
  212 --   213	21.702	6.703	8.323	9.479	23.196	29.900
  213 --   214	21.220	6.349	7.883	9.737	22.113	29.267
  214 --   215	21.744	6.075	7.544	11.390	22.328	30.488
  215 --   216	22.036	6.944	8.622	9.873	22.256	31.247
  216 --   217	21.759	6.471	8.034	10.437	22.272	30.144
  217 --   218	22.210	5.291	6.570	13.133	23.788	29.326
  218 --   219	22.436	5.206	6.464	13.379	22.886	29.103
  219 --   220	22.868	5.650	7.016	12.312	24.244	29.409
  220 --   221	23.041	6.169	7.660	11.471	23.975	28.658
  221 --   222	22.614	6.522	8.098	10.289	23.632	28.907
  222 --   223	22.952	7.254	9.007	9.241	24.469	29.985
  223 --   224	22.551	7.515	9.332	8.314	25.121	29.154
  224 --   225	23.369	6.521	8.097	11.392	24.162	29.248
  225 --   226	23.401	6.898	8.565	10.635	24.508	29.839
  226 --   227	23.543	7.319	9.088	9.511	25.415	30.525
  227 --   228	23.620	7.198	8.938	10.067	26.785	31.017
  228 --   229	23.940	6.824	8.473	11.869	26.360	32.243
  229 --   230	25.102	6.842	8.495	12.469	28.717	31.800
  230 --   231	25.089	7.079	8.790	11.123	27.646	30.741
  231 --   232	25.122	7.368	9.149	10.444	28.231	29.853
  232 --   233	25.861	7.656	9.506	10.680	29.679	30.998
  233 --   234	25.035	7.486	9.296	10.209	28.790	29.858
