Time 1-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 5-10.0.0.4-10.0.0.2 1-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 Aggregate-Flow
29.000000 2.581335 1.999121 4.832523 10.000295 9.339399 1.690099 8.396943 5.823236 8.488976 5.307565 5.818239 2.116051 5.027024 6.494915 0.832760 78.748481
30.000000 2.267805 2.016109 5.305145 10.777914 10.028863 1.708847 8.946146 6.311427 8.819593 5.568050 6.573764 2.024847 4.219800 7.009178 0.866861 82.444349
31.000000 2.274769 2.125772 5.508328 11.563964 10.720805 1.799752 9.509342 4.733085 5.355378 5.053033 4.135307 2.068830 3.742934 6.605016 0.898372 76.094687
32.000000 2.377947 2.031025 5.490596 12.302737 11.280305 1.896907 7.285153 4.644023 5.359867 4.339043 4.798839 2.080992 4.309498 4.838893 0.894540 73.930365
33.000000 2.450549 1.942081 5.829427 13.102299 11.946891 1.951803 6.333320 5.089429 5.711514 4.672338 5.433697 2.057021 4.884355 5.453843 0.915893 77.774460
34.000000 2.401333 1.917596 6.159079 13.841656 12.560250 1.787410 6.787768 5.555607 6.070803 4.912521 6.053485 1.850368 5.439311 6.023260 0.963769 82.324216
35.000000 2.208034 2.083602 6.593428 14.460015 13.146472 1.713351 7.338383 6.102126 6.493164 5.229324 6.159702 1.516774 5.758124 6.616956 1.088931 86.508386
36.000000 2.043304 2.210149 7.095335 15.106785 13.773248 1.499305 7.810977 6.672664 6.825862 5.477468 4.708523 1.291561 3.888171 6.112237 1.231777 85.747366
37.000000 1.592694 2.553527 7.772629 15.493813 14.068509 1.332082 8.081004 6.910958 7.290259 5.705624 5.072989 1.334572 4.184033 5.007547 1.326171 87.726411
38.000000 2.572265 0.000000 0.000000 16.874925 15.545683 2.637770 9.475816 7.540770 8.754044 7.067744 6.485572 2.591723 5.543057 0.000000 0.000000 85.089369
39.000000 2.639279 5.010733 9.126373 17.051455 15.728764 2.236457 10.556046 0.000000 7.840216 0.000000 0.000000 2.534404 0.000000 6.954515 3.288069 82.966311
40.000000 2.849820 5.280952 10.133818 16.884491 14.268999 1.641074 10.275663 9.483296 6.670493 8.524710 5.997923 3.329266 6.638885 7.695573 3.110309 112.785272
41.000000 2.491791 4.916551 9.300134 13.442783 13.045670 2.450221 10.775164 7.567562 7.966579 8.575210 5.070470 0.000000 6.298986 6.931651 3.277713 102.110485
42.000000 1.612606 4.976686 6.953182 13.267693 13.017621 1.731984 9.234990 6.715904 7.333220 8.350603 5.411153 3.045351 5.976574 4.582637 2.910104 95.120308
43.000000 0.922053 4.937375 7.094260 13.602805 13.304616 0.933731 7.562900 6.925147 7.429191 8.592543 5.791876 2.047152 5.965786 1.730185 2.775911 89.615531
44.000000 0.997455 5.346581 7.622800 13.763026 13.808169 0.997100 8.289773 4.993148 8.110339 5.769601 6.360308 2.107158 6.398297 2.038762 3.003775 89.606292
45.000000 0.983677 5.693635 8.097869 6.277413 14.323811 0.984013 9.004329 4.346409 5.940958 4.348630 4.895503 2.027469 6.821291 2.493076 3.206957 79.445040
46.000000 1.001544 6.013987 7.010390 6.761647 11.229977 1.003062 9.681451 4.741106 6.094481 4.750517 4.773262 1.887679 7.147540 2.883502 3.439974 78.420119
47.000000 1.033242 6.397720 5.403853 7.341772 9.691499 1.039436 10.302860 5.203927 6.744160 5.196790 5.316259 1.797355 7.469653 3.301553 3.618463 79.858542
48.000000 1.035665 6.804026 5.948026 7.805017 10.146991 1.031646 10.899461 5.622054 7.368474 5.624644 5.811669 1.578150 6.126121 3.856402 3.811474 83.469820
49.000000 1.079629 7.262064 6.445829 8.406458 10.570480 1.083521 9.628934 6.010913 7.923379 6.078130 6.347401 1.255045 6.037681 4.395296 4.146748 86.671508
50.000000 1.112799 7.714518 6.936317 7.999530 9.622081 1.113753 8.962722 6.443783 8.491691 6.356577 6.829218 1.113605 6.362500 4.228302 4.376453 87.663849
51.000000 1.223347 8.096082 7.430145 7.819805 7.991641 1.193501 9.630924 6.822983 9.003059 6.627613 7.271073 1.203154 6.633446 4.837675 4.566838 90.351286
52.000000 0.000000 0.000000 8.068899 7.965203 0.000000 0.000000 0.000000 0.000000 9.538838 6.739552 7.561586 1.284130 0.000000 5.428248 4.657221 51.243677
53.000000 0.000000 0.000000 8.942069 9.243440 9.215038 2.624250 11.272716 8.288523 10.886207 8.074337 7.726030 2.541458 8.156393 6.318507 5.736089 99.025057
54.000000 0.000000 10.714138 9.062024 9.330353 10.105688 3.334056 12.195826 8.842696 0.000000 8.633291 5.795059 2.997626 8.947481 4.623782 5.740732 100.322752
55.000000 3.146886 10.560856 9.743481 10.038742 9.908528 2.875057 12.462765 9.081858 12.445920 8.288892 5.883597 2.427252 8.773781 3.844959 5.665956 115.148530
56.000000 2.114713 10.186375 8.356211 10.300182 10.219426 2.702902 12.763329 9.266103 12.757723 8.092884 6.170689 1.615766 8.612376 4.222919 4.991171 112.372769
57.000000 1.688907 7.273662 6.715884 9.190279 10.864677 2.536854 13.386022 9.688443 13.446843 7.002799 6.617952 1.021545 9.129749 4.216344 5.270834 108.050794
58.000000 1.211514 7.629264 6.866547 7.512044 9.702550 2.277333 14.100741 10.213120 14.122217 3.609518 5.759260 0.963836 9.590697 3.394980 5.599959 102.553580
59.000000 1.004843 8.034764 7.030386 8.106731 8.048442 2.015755 14.423414 5.372289 14.843703 4.029608 5.361321 0.999302 10.029134 3.760692 5.742775 98.803159
60.000000 1.006723 8.500838 7.228694 8.649828 8.597219 1.804326 10.100964 5.512404 15.602633 4.432978 5.840038 1.017774 4.843504 4.087341 5.922026 93.147290
61.000000 1.057441 8.987870 6.475786 9.276176 9.102654 1.508227 10.737640 6.026503 16.393497 4.713607 6.377815 1.068890 5.117610 4.486909 6.133259 97.463884
62.000000 1.074369 8.595223 5.264749 9.842945 9.571869 1.231614 11.477173 6.482738 17.176443 4.962020 6.891254 1.083093 5.532447 4.805188 6.227236 100.218361
63.000000 1.132064 7.440717 5.592447 9.463687 10.016565 1.136494 12.168555 6.884569 17.878903 5.341051 7.474650 1.134874 5.954206 5.185352 6.143007 102.947141
64.000000 1.261438 7.892626 5.483321 8.109620 9.222022 1.261535 12.754151 7.269231 18.613066 5.815314 7.836371 1.260057 6.356795 5.758432 6.031853 104.925832
65.000000 1.382425 8.394869 5.990350 8.791152 8.238899 1.386332 13.181744 7.805002 18.722811 6.227164 8.131180 1.390899 6.657069 3.657132 5.859937 105.816965
66.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.239035 0.000000 4.239035
67.000000 2.715316 0.000000 7.827215 10.260146 0.000000 2.667394 14.814565 9.288667 11.720917 7.698582 9.732876 2.669347 8.290807 5.460986 7.314125 100.460943
68.000000 2.554353 10.868784 0.000000 11.120098 10.760258 2.565578 12.752524 10.473334 0.000000 8.582900 9.686257 2.431852 9.391821 6.072351 7.320489 104.580599
69.000000 3.403407 11.354096 9.452537 11.646609 11.358573 0.000000 11.509775 10.486085 13.468166 8.849855 8.374012 2.763934 9.233484 5.573687 5.395047 122.869267
70.000000 3.859979 11.805646 9.128989 12.495669 11.501463 0.000000 11.395688 10.912522 13.874372 9.213143 6.972569 2.825109 9.359047 4.808375 5.070303 123.222874
71.000000 3.570252 11.925138 9.087231 12.781672 11.702781 3.516461 11.880906 9.235350 14.122258 8.980231 7.071086 2.041703 9.167425 4.476831 2.795677 122.355002
72.000000 3.787892 9.311754 9.469755 13.376194 12.173346 3.294872 5.152641 7.263042 14.697362 8.949738 7.450233 2.217213 9.548484 4.819968 0.940866 112.453360
73.000000 4.208985 9.008084 9.945150 12.325193 12.621398 3.795865 4.622515 7.751987 15.326094 9.240089 7.823590 2.450063 9.958922 5.099361 0.993260 115.170556
74.000000 4.678466 9.316268 4.604998 10.555706 10.814791 4.251507 5.181590 8.231821 15.944647 9.605189 5.775992 2.764006 10.375769 5.448680 1.043871 108.593301
75.000000 5.048961 9.788340 5.026107 11.156163 5.956859 4.652928 5.626974 7.539438 16.556686 9.931337 5.243622 3.041284 10.843518 5.706202 1.058357 107.176776
76.000000 5.459233 10.243151 5.562770 11.795220 6.367410 5.061171 6.160831 4.814138 17.183635 6.624568 5.728719 3.341721 8.668532 6.078105 1.110633 104.199837
77.000000 5.832517 6.550914 6.049666 12.386110 6.831699 5.483443 6.685047 5.268555 17.109514 5.570653 6.181672 3.506124 6.432559 6.368619 1.138582 101.395674
78.000000 6.146262 6.626367 6.490685 13.107444 7.383229 5.929454 7.243644 5.673407 8.730285 6.057759 6.462244 3.460990 6.793000 6.843056 1.172999 98.120825
79.000000 6.298723 7.279868 6.811679 13.803149 7.985994 6.260010 7.756327 6.213125 9.278882 6.548558 6.983964 3.139580 7.226945 6.749318 1.283073 103.619195
80.000000 6.195386 7.294022 7.302699 14.082181 8.262223 6.382726 8.033124 6.410243 9.790089 6.623265 7.369279 2.955031 7.575789 7.514241 1.365424 107.155722
81.000000 7.555449 8.743719 0.000000 10.862421 9.859398 7.826523 9.465968 0.000000 0.000000 0.000000 8.772239 4.303530 9.021206 8.807384 2.829329 88.047166
82.000000 8.436921 9.063282 0.000000 11.353380 10.974176 7.452677 9.623851 8.781566 11.221876 8.232659 9.491621 4.044505 9.809200 9.376033 0.000000 117.861747
83.000000 6.865012 9.700933 10.739385 11.461510 10.740971 7.643704 10.316217 8.825262 12.138910 8.835026 9.560581 2.542904 9.672579 9.416797 3.268994 131.728785
84.000000 4.870031 10.388587 10.855539 12.317360 10.775509 6.300619 10.467474 8.972192 12.124027 8.872346 8.992814 1.624515 9.598371 9.425339 2.787611 128.372334
85.000000 3.871542 9.916645 10.585420 12.336001 11.182656 4.889100 7.296138 8.986997 12.246416 8.655453 6.011221 1.189132 9.669610 9.729424 2.561725 119.127480
86.000000 2.246030 10.024650 11.108831 12.901550 11.574931 4.787323 6.999442 9.389712 9.939350 8.844919 6.379372 0.865050 9.942272 9.964259 2.592434 117.560125
87.000000 2.000957 7.890051 11.536628 13.634032 10.582950 4.910075 7.414176 9.841659 7.560697 9.257711 6.799333 0.892955 10.388292 10.317176 2.745240 115.771932
88.000000 1.886180 5.163585 12.047207 13.746288 8.355389 5.011155 7.878999 10.307998 7.996127 9.669506 7.236506 0.929899 10.861186 10.735639 2.964716 114.790380
89.000000 1.762827 5.681720 12.560859 10.560176 8.793452 5.026174 6.062688 7.971647 8.486203 6.657922 6.364779 0.950941 11.247330 10.715161 3.132167 105.974046
90.000000 1.612375 6.218621 11.709473 11.231794 9.269826 5.157426 5.246855 5.974955 8.912274 5.304213 5.298601 0.967696 6.427229 6.500050 3.312783 93.144171
91.000000 1.425685 6.817397 6.606282 11.887258 9.709006 5.258126 5.769632 6.395375 8.191129 5.772945 5.782848 0.998221 6.709568 6.893399 3.542688 91.759559
92.000000 1.224129 7.399196 7.046480 12.658106 7.541595 5.250690 6.331060 6.851663 7.135370 6.255800 6.252359 1.063712 7.167238 7.227695 3.608013 93.013106
93.000000 1.175723 8.091675 7.614332 13.367263 7.554038 5.164312 6.949827 7.296109 7.728544 6.653863 6.761430 1.176467 7.685193 7.423491 3.798105 98.440372
94.000000 1.256950 8.476188 8.193599 13.856087 7.762254 5.000446 7.335897 7.770349 8.232378 6.783122 7.245165 1.279901 8.139830 7.711158 4.044661 103.087985
95.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
96.000000 0.000000 0.000000 9.953003 15.840004 9.481549 6.432927 0.000000 9.367063 9.857717 8.482874 8.682317 2.521341 9.722576 8.957963 5.754377 105.053711
97.000000 0.000000 0.000000 9.994331 16.865315 10.713135 6.498392 9.709408 10.417314 0.000000 9.465385 8.720497 2.582222 10.433947 9.281435 6.408226 111.089607
98.000000 4.551513 12.603082 10.660416 14.427273 10.953251 4.928746 9.829718 10.012769 11.120978 9.489519 9.579886 3.671578 10.300801 8.552852 6.027001 136.709383
99.000000 3.474821 12.564216 10.973512 13.391190 10.820135 3.081317 9.749335 8.349359 11.048163 9.668405 8.653015 3.322909 10.366815 7.904273 5.854167 129.221632
100.000000 2.264228 12.041390 11.443795 14.118661 10.977142 1.140455 7.238948 6.153954 9.172617 9.370386 6.424656 2.114447 10.432302 5.604845 5.747067 114.244893
101.000000 2.133877 12.237160 11.960518 14.860540 11.538694 1.134149 7.912908 6.559834 7.725052 9.627439 6.866290 2.067017 10.470237 5.811725 6.130444 117.035884
102.000000 1.919696 5.451918 12.468687 15.540556 12.033162 1.060052 8.650120 6.984680 8.113140 10.087059 7.340394 2.049047 4.529890 5.994350 6.431433 108.654184
103.000000 1.641489 2.839711 9.944096 16.260975 12.679983 1.058388 9.375655 7.456805 8.557855 10.562342 7.893474 2.011356 4.946601 6.201977 6.806607 108.237314
