Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 539.200000 2219.200000 1680.000000 1693.600000 1580.800000 0.000000 0.000000 0.000000 0.000000 0.000000 7712.800000
1.000000 611.520000 2172.480000 1956.000000 1938.880000 1716.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8394.880000
2.000000 527.040000 2137.440000 1884.000000 1973.920000 1695.200000 0.000000 0.000000 0.000000 0.000000 0.000000 8217.600000
3.000000 567.680000 2137.440000 1860.000000 1787.040000 1757.600000 0.000000 0.000000 0.000000 0.000000 0.000000 8109.760000
4.000000 535.360000 1962.240000 1680.000000 1658.560000 1851.200000 75.840000 443.840000 156.000000 197.600000 46.720000 8607.360000
5.000000 520.320000 1681.920000 1812.000000 1518.400000 1664.000000 511.360000 1716.960000 1440.000000 1383.200000 1576.800000 13824.960000
6.000000 483.840000 1600.160000 1236.000000 1670.240000 1549.600000 489.280000 1413.280000 1620.000000 1341.600000 1495.040000 12899.040000
7.000000 516.160000 1857.120000 1704.000000 1822.080000 1632.800000 564.160000 1483.360000 1632.000000 1258.400000 1518.400000 13988.480000
8.000000 548.480000 1903.840000 1968.000000 1740.320000 1601.600000 574.720000 1401.600000 1572.000000 1289.600000 1471.680000 14071.840000
9.000000 506.880000 1845.440000 1776.000000 1822.080000 1549.600000 521.920000 1553.440000 1740.000000 1279.200000 1483.360000 14077.920000
10.000000 550.080000 1833.760000 1488.000000 1588.480000 1560.000000 524.800000 1530.080000 1728.000000 1570.400000 1611.840000 13985.440000
11.000000 495.680000 1938.880000 1608.000000 1495.040000 1508.000000 495.040000 1833.760000 1620.000000 1632.800000 1576.800000 14204.000000
