Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
34.000000 0.000922 0.009645 0.008435 0.010216 0.017088 0.001066 0.009611 0.012618 0.009608 0.019485 0.000560 0.001196 0.001222 0.004021 0.001659 0.107352
35.000000 0.001365 0.020343 0.007872 0.011482 0.009723 0.001326 0.008893 0.012573 0.010933 0.010141 0.000528 0.001015 0.002087 0.004234 0.002466 0.104981
36.000000 0.001445 0.009493 0.009582 0.013385 0.010657 0.001393 0.008695 0.010205 0.010678 0.011588 0.001379 0.005266 0.006123 0.005690 0.006416 0.111995
37.000000 0.001448 0.007649 0.008621 0.010911 0.010662 0.001556 0.009143 0.011651 0.010169 0.010296 0.000273 0.000585 0.000542 0.003179 0.000695 0.087380
38.000000 0.001090 0.009603 0.008850 0.011754 0.011823 0.001103 0.010697 0.009773 0.010789 0.009667 0.000404 0.000856 0.001004 0.003384 0.001010 0.091807
39.000000 0.001170 0.010587 0.009733 0.012783 0.010650 0.001202 0.008738 0.012844 0.010752 0.012426 0.000519 0.000881 0.001387 0.003728 0.000877 0.098277
40.000000 0.001440 0.008591 0.007966 0.010927 0.009876 0.001437 0.009965 0.011597 0.008674 0.010416 0.000823 0.003467 0.003575 0.004372 0.004043 0.097169
41.000000 0.001462 0.012006 0.010643 0.015033 0.012984 0.001367 0.009151 0.013271 0.009880 0.011127 0.001678 0.008154 0.010118 0.007966 0.010816 0.135656
42.000000 0.001480 0.009991 0.008048 0.010578 0.009920 0.001418 0.009604 0.011652 0.009980 0.010162 0.000552 0.002027 0.002124 0.003595 0.002018 0.093149
43.000000 0.001388 0.008948 0.009718 0.009601 0.009484 0.001390 0.010899 0.009375 0.010534 0.010930 0.000697 0.002958 0.003241 0.004485 0.002629 0.096277
44.000000 0.001241 0.008371 0.008924 0.012187 0.009924 0.001263 0.009431 0.013275 0.007534 0.012476 0.000808 0.004104 0.004005 0.005235 0.004222 0.103000
45.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001099 0.000000 0.000000 0.000000 0.005806 0.000573 0.002097 0.003289 0.004094 0.003293 0.020251
46.000000 0.005481 0.369327 0.017323 1.405754 0.040418 0.003309 0.017845 0.728985 1.878205 0.000000 0.000583 0.003024 0.002835 0.004193 0.002938 4.480220
47.000000 0.001327 0.010953 0.007630 0.013451 0.014509 0.000773 0.015760 0.023726 0.012219 0.014385 0.000451 0.001215 0.001651 0.002804 0.001357 0.122211
48.000000 0.024225 0.011885 0.348728 0.014234 0.012802 0.001689 0.017926 0.010092 0.009788 0.017479 0.000601 0.001807 0.002541 0.003691 0.002239 0.479727
49.000000 0.000968 0.009063 0.008437 0.010807 0.000000 0.001184 0.009487 0.009173 0.012458 0.011571 0.000551 0.000862 0.000513 0.003187 0.000963 0.079224
50.000000 0.001340 0.009931 0.008664 0.032042 0.010368 0.001265 0.012815 0.030253 0.010106 0.018839 0.000952 0.003258 0.002859 0.004864 0.003796 0.151352
51.000000 0.001358 0.008897 0.010087 0.010247 0.010843 0.001495 0.008475 0.009257 0.008969 0.011801 0.000632 0.001889 0.002509 0.003758 0.002154 0.092371
52.000000 0.001074 0.011762 0.008634 0.010892 0.010312 0.001602 0.009077 0.009493 0.009621 0.012176 0.000382 0.001360 0.001603 0.003157 0.001443 0.092588
53.000000 0.001384 0.010688 0.007309 0.009616 0.009773 0.001626 0.009981 0.009390 0.008639 0.011025 0.000366 0.001263 0.001078 0.004020 0.001547 0.087705
54.000000 0.001439 0.010299 0.007607 0.009471 0.009842 0.001592 0.010541 0.008155 0.008432 0.010095 0.000277 0.000778 0.000600 0.002716 0.000695 0.082539
55.000000 0.001378 0.011502 0.007544 0.011315 0.009139 0.001496 0.010508 0.009456 0.009099 0.011210 0.000621 0.002961 0.003039 0.004605 0.003122 0.096995
56.000000 0.001124 0.011566 0.008678 0.011068 0.011077 0.001488 0.011579 0.009731 0.011103 0.015400 0.000702 0.001438 0.001226 0.005300 0.000938 0.102418
57.000000 0.000991 0.010846 0.007852 0.010453 0.010030 0.001046 0.009609 0.008065 0.009560 0.012027 0.000489 0.000466 0.001289 0.003577 0.001016 0.087316
58.000000 0.000903 0.010905 0.008367 0.009519 0.008312 0.000907 0.009495 0.009473 0.008807 0.012269 0.001046 0.004020 0.003962 0.004812 0.004434 0.097231
59.000000 0.000846 0.011500 0.008101 0.012020 0.008270 0.000867 0.009260 0.008921 0.009667 0.014876 0.000364 0.000786 0.000988 0.003434 0.000706 0.090606
60.000000 0.001067 0.009783 0.008952 0.010165 0.006895 0.001481 0.010157 0.009111 0.008991 0.010489 0.000383 0.000713 0.001071 0.003580 0.001165 0.084003
61.000000 0.000732 0.016898 0.009368 0.011555 0.005426 0.000833 0.009115 0.008971 0.014241 0.010990 0.000317 0.000831 0.000845 0.003542 0.000855 0.094519
62.000000 0.039848 0.000000 0.041059 0.036712 0.046643 0.004315 0.039782 0.043803 0.000000 0.042063 0.000409 0.000837 0.001881 0.002816 0.000893 0.301061
63.000000 0.001070 0.018125 0.010565 0.038819 0.009462 0.000844 0.012173 0.012593 1.873436 0.014239 0.001085 0.002718 0.003083 0.004347 0.003158 2.005717
64.000000 0.000842 0.038152 0.010078 0.010857 0.013722 0.000956 0.010243 0.008107 0.011597 0.021034 0.001001 0.003723 0.004304 0.004885 0.004723 0.144224
65.000000 0.000807 0.008915 0.007611 0.164549 0.008001 0.001137 0.008826 0.007700 0.008136 0.012379 0.000680 0.003090 0.003335 0.004381 0.004189 0.243736
