Interval	Avg	Std	CI=0.95	Min	Median	Max
  102 --   103	10.193	2.896	3.596	6.238	11.455	13.276
  103 --   104	9.857	2.790	3.464	6.228	10.372	13.124
  104 --   105	10.039	2.915	3.619	6.255	10.835	13.624
  105 --   106	10.389	2.523	3.133	6.007	10.795	13.624
  106 --   107	10.375	2.524	3.134	6.007	10.865	13.624
  107 --   108	10.261	2.490	3.092	6.007	10.800	13.601
  108 --   109	10.012	2.455	3.048	6.090	10.528	13.439
  109 --   110	10.167	2.427	3.013	5.757	10.495	13.146
  110 --   111	10.198	2.300	2.856	6.090	10.329	13.134
  111 --   112	9.906	2.045	2.539	6.090	10.267	12.099
  112 --   113	9.369	2.085	2.589	6.090	10.267	11.682
  113 --   114	9.209	1.972	2.449	6.090	10.267	11.349
  114 --   115	8.259	2.736	3.397	3.632	9.813	10.913
  115 --   116	8.661	1.957	2.430	6.090	9.495	10.877
  116 --   117	9.002	1.632	2.026	6.419	9.131	10.938
  117 --   118	9.651	2.068	2.568	6.188	10.090	12.267
  118 --   119	9.528	2.203	2.735	6.003	10.090	12.267
  119 --   120	9.742	2.527	3.137	5.959	10.068	13.267
  120 --   121	10.279	2.518	3.127	6.565	9.879	14.267
  121 --   122	10.313	2.543	3.158	6.565	9.800	14.267
  122 --   123	10.596	2.941	3.652	6.565	9.700	15.517
  123 --   124	10.709	3.193	3.965	6.648	9.529	16.267
  124 --   125	11.483	4.052	5.031	6.648	9.467	18.267
  125 --   126	11.434	4.188	5.200	6.648	10.850	18.267
  126 --   127	11.545	4.670	5.799	6.544	10.824	18.115
  127 --   128	11.489	4.585	5.693	6.453	10.999	17.755
  128 --   129	11.532	4.508	5.597	6.648	10.929	17.258
  129 --   130	11.698	4.858	6.031	6.325	10.927	17.592
  130 --   131	11.273	4.594	5.704	6.286	10.446	17.592
  131 --   132	11.206	4.717	5.857	6.209	10.446	18.092
  132 --   133	11.078	5.023	6.237	5.549	10.446	18.550
  133 --   134	11.054	5.243	6.510	5.493	10.446	19.050
  134 --   135	11.216	5.545	6.885	4.624	12.071	19.592
  135 --   136	11.508	5.370	6.668	4.294	12.446	19.592
  136 --   137	11.993	5.009	6.219	5.533	13.446	19.588
  137 --   138	12.118	4.979	6.183	5.521	13.908	19.220
  138 --   139	11.913	4.862	6.037	5.134	14.158	18.335
  139 --   140	11.879	4.986	6.191	5.123	14.408	17.870
  140 --   141	12.003	4.873	6.050	5.020	14.616	17.737
  141 --   142	12.314	4.722	5.863	5.850	14.866	17.629
  142 --   143	12.930	4.499	5.587	5.850	15.698	17.700
  143 --   144	12.827	4.318	5.362	6.267	14.158	17.667
  144 --   145	13.467	4.342	5.391	6.267	15.908	17.907
  145 --   146	14.043	3.794	4.711	8.267	15.908	17.860
  146 --   147	14.163	3.941	4.893	8.267	15.908	18.573
  147 --   148	14.521	3.383	4.201	10.267	15.908	18.550
  148 --   149	14.265	3.334	4.140	10.267	15.908	18.381
  149 --   150	14.479	2.887	3.584	10.267	15.885	17.969
  150 --   151	14.501	2.926	3.634	10.267	15.791	17.955
  151 --   152	14.772	2.463	3.058	11.671	15.060	17.754
  152 --   153	14.516	2.839	3.525	9.715	14.183	17.754
  153 --   154	14.373	2.805	3.483	9.624	14.267	17.754
  154 --   155	14.692	3.389	4.208	9.558	14.267	19.754
  155 --   156	14.466	3.630	4.507	8.895	14.252	19.754
  156 --   157	14.602	4.368	5.424	8.895	13.949	21.754
  157 --   158	14.892	5.076	6.302	8.895	13.463	23.754
  158 --   159	14.834	5.093	6.324	8.895	13.173	23.754
  159 --   160	14.749	4.940	6.133	9.562	12.300	23.534
  160 --   161	14.879	4.775	5.929	10.562	12.052	23.524
  161 --   162	14.964	4.435	5.507	10.895	13.385	22.957
  162 --   163	14.957	4.382	5.442	10.895	13.802	22.910
  163 --   164	15.565	4.807	5.969	11.300	13.802	24.726
  164 --   165	15.747	5.418	6.727	11.300	13.601	26.320
  165 --   166	15.716	5.388	6.690	11.300	13.577	26.286
  166 --   167	15.882	5.339	6.629	12.134	13.677	26.464
  167 --   168	15.732	5.334	6.623	12.134	13.585	26.328
  168 --   169	15.490	5.392	6.695	12.134	13.306	26.208
