Interval	Avg	Std	CI=0.95	Min	Median	Max
  365 --   366	1573.000	122.255	194.535	1456.000	1528.800	1778.400
  366 --   367	1484.600	182.575	290.517	1237.600	1508.000	1684.800
  367 --   368	1635.400	227.778	362.446	1435.200	1554.800	1996.800
  368 --   369	1583.400	101.998	162.302	1476.800	1565.200	1726.400
  369 --   370	1697.800	91.371	145.391	1549.600	1731.600	1778.400
  370 --   371	1635.400	93.129	148.190	1518.400	1622.400	1778.400
  371 --   372	1593.800	243.610	387.639	1268.800	1575.600	1955.200
  372 --   373	1674.400	88.247	140.421	1591.200	1653.600	1799.200
  373 --   374	1534.000	109.200	173.762	1424.800	1502.800	1705.600
  374 --   375	1489.800	214.701	341.637	1164.800	1518.400	1757.600
  375 --   376	1578.200	150.239	239.063	1445.600	1518.400	1830.400
  376 --   377	1622.400	158.237	251.791	1404.000	1653.600	1778.400
  377 --   378	1484.600	225.512	358.839	1196.000	1482.000	1778.400
  378 --   379	1575.600	161.368	256.772	1372.800	1560.000	1809.600
  379 --   380	1578.200	173.928	276.758	1300.000	1617.200	1778.400
  380 --   381	1427.400	146.595	233.265	1248.000	1409.200	1643.200
  381 --   382	1710.800	27.020	42.995	1684.800	1705.600	1747.200
  382 --   383	1619.800	191.960	305.452	1372.800	1601.600	1903.200
  383 --   384	1684.800	98.937	157.430	1570.400	1664.000	1840.800
  384 --   385	1575.600	127.692	203.186	1362.400	1632.800	1674.400
  385 --   386	1596.400	33.296	52.982	1570.400	1580.800	1653.600
  386 --   387	1573.000	62.129	98.860	1476.800	1591.200	1632.800
  387 --   388	1518.400	109.817	174.744	1372.800	1513.200	1674.400
  388 --   389	1632.800	133.793	212.894	1476.800	1627.600	1799.200
  389 --   390	1528.800	96.726	153.912	1362.400	1575.600	1601.600
  390 --   391	1497.600	167.211	266.069	1320.800	1492.400	1684.800
  391 --   392	1729.000	106.410	169.321	1591.200	1721.200	1882.400
  392 --   393	1596.400	162.703	258.896	1404.000	1612.000	1757.600
  393 --   394	1466.400	67.800	107.884	1372.800	1466.400	1560.000
  394 --   395	1588.600	49.537	78.824	1539.200	1586.000	1643.200
  395 --   396	1606.800	96.865	154.134	1456.000	1622.400	1726.400
  396 --   397	1695.200	30.321	48.247	1653.600	1695.200	1736.800
  397 --   398	1573.000	91.371	145.391	1424.800	1596.400	1674.400
  398 --   399	1463.800	179.136	285.045	1185.600	1492.400	1684.800
  399 --   400	1541.800	257.531	409.790	1123.200	1632.800	1778.400
  400 --   401	1560.000	199.100	316.812	1310.400	1554.800	1820.000
  401 --   402	1599.000	56.186	89.405	1560.000	1570.400	1695.200
  402 --   403	1549.600	124.583	198.240	1435.200	1502.800	1757.600
  403 --   404	1640.600	109.663	174.499	1497.600	1658.800	1747.200
  404 --   405	1567.800	114.960	182.927	1393.600	1580.800	1716.000
  405 --   406	1562.600	79.332	126.235	1435.200	1580.800	1653.600
  406 --   407	1640.600	188.262	299.567	1383.200	1669.200	1840.800
  407 --   408	1484.600	111.860	177.995	1341.600	1487.200	1622.400
  408 --   409	1656.200	88.055	140.115	1560.000	1648.400	1768.000
  409 --   410	1627.600	189.140	300.964	1362.400	1643.200	1861.600
  410 --   411	1508.000	86.389	137.464	1414.400	1497.600	1622.400
  411 --   412	1536.600	84.929	135.141	1414.400	1539.200	1653.600
  412 --   413	1482.000	150.081	238.812	1352.000	1419.600	1736.800
  413 --   414	1604.200	131.010	208.466	1445.600	1580.800	1809.600
  414 --   415	1573.000	32.370	51.507	1539.200	1565.200	1622.400
  415 --   416	1547.000	78.990	125.691	1414.400	1580.800	1612.000
  416 --   417	1495.000	218.570	347.794	1237.600	1502.800	1736.800
  417 --   418	1596.400	208.843	332.316	1258.400	1648.400	1830.400
  418 --   419	1762.800	164.849	262.312	1601.600	1721.200	2007.200
  419 --   420	1521.000	186.531	296.812	1279.200	1502.800	1799.200
  420 --   421	1554.800	50.147	79.795	1497.600	1544.400	1632.800
  421 --   422	1651.000	71.441	113.678	1549.600	1653.600	1747.200
  422 --   423	1544.400	213.200	339.249	1268.800	1523.600	1861.600
  423 --   424	1609.400	176.551	280.933	1435.200	1549.600	1903.200
  424 --   425	1619.800	91.371	145.391	1518.400	1596.400	1768.000
  425 --   426	1705.600	123.930	197.201	1497.600	1757.600	1809.600
  426 --   427	1614.600	66.338	105.559	1518.400	1617.200	1705.600
  427 --   428	1638.000	286.755	456.292	1185.600	1695.200	1976.000
  428 --   429	1588.600	137.062	218.097	1352.000	1658.800	1684.800
  429 --   430	1502.800	89.615	142.598	1362.400	1518.400	1612.000
  430 --   431	1526.200	115.663	184.046	1383.200	1508.000	1705.600
  431 --   432	1630.200	59.003	93.888	1528.800	1658.800	1674.400
  432 --   433	1422.200	139.215	221.523	1227.200	1435.200	1591.200
  433 --   434	1674.400	182.519	290.429	1404.000	1716.000	1861.600
  434 --   435	1656.200	211.784	336.996	1414.400	1606.800	1996.800
  435 --   436	1523.600	53.284	84.787	1466.400	1518.400	1591.200
  436 --   437	1619.800	94.570	150.482	1528.800	1586.000	1778.400
  437 --   438	1547.000	82.997	132.066	1404.000	1591.200	1601.600
  438 --   439	1565.200	84.009	133.676	1435.200	1586.000	1653.600
  439 --   440	1526.200	90.179	143.495	1404.000	1523.600	1653.600
  440 --   441	1549.600	73.906	117.601	1445.600	1549.600	1653.600
  441 --   442	1552.200	102.527	163.143	1445.600	1544.400	1674.400
  442 --   443	1648.400	109.200	173.762	1549.600	1606.800	1830.400
  443 --   444	1479.400	131.422	209.122	1341.600	1440.400	1695.200
  444 --   445	1541.800	37.044	58.946	1487.200	1544.400	1591.200
