Interval	Avg	Std	CI=0.95	Min	Median	Max
  551 --   552	30.865	1.232	1.529	28.850	30.696	32.418
  552 --   553	30.846	1.184	1.470	28.827	31.048	32.477
  553 --   554	30.541	1.097	1.363	28.475	30.699	31.641
  554 --   555	30.771	0.910	1.130	29.542	30.753	32.099
  555 --   556	31.224	1.013	1.258	29.602	31.398	32.419
  556 --   557	30.993	0.701	0.870	30.120	31.367	31.696
  557 --   558	31.043	0.967	1.200	29.826	31.325	32.260
  558 --   559	30.809	1.204	1.496	28.687	31.511	31.926
  559 --   560	30.865	1.056	1.312	29.210	30.781	32.454
  560 --   561	31.040	0.619	0.768	30.258	31.233	31.862
  561 --   562	30.837	0.634	0.787	29.865	30.816	31.629
  562 --   563	31.058	0.946	1.175	29.647	31.151	32.349
  563 --   564	30.682	0.847	1.051	29.482	30.633	31.705
  564 --   565	30.588	0.986	1.224	29.708	29.941	32.044
  565 --   566	30.800	0.274	0.340	30.509	30.672	31.270
  566 --   567	30.951	0.730	0.907	29.741	31.130	31.944
  567 --   568	30.694	1.101	1.367	29.494	30.272	32.142
  568 --   569	30.271	1.110	1.378	28.320	30.296	31.733
  569 --   570	29.778	1.299	1.613	27.243	30.193	30.824
  570 --   571	29.099	1.507	1.871	26.490	29.207	31.179
  571 --   572	28.607	1.926	2.392	25.321	28.470	30.654
  572 --   573	27.845	2.232	2.772	24.319	27.637	30.966
  573 --   574	27.579	2.908	3.611	23.480	26.802	31.952
  574 --   575	26.873	3.324	4.127	22.487	25.553	31.815
  575 --   576	26.200	3.838	4.765	21.409	24.636	32.493
  576 --   577	25.815	4.425	5.494	20.364	23.635	31.655
  577 --   578	25.229	4.905	6.090	19.408	22.636	31.845
  578 --   579	24.650	5.422	6.732	18.409	21.634	31.573
  579 --   580	23.840	5.584	6.933	17.410	20.631	30.816
  580 --   581	22.940	5.694	7.070	16.486	19.552	29.815
  581 --   582	22.555	6.512	8.085	15.487	18.513	32.049
  582 --   583	21.649	6.690	8.307	14.323	17.550	31.401
  583 --   584	20.656	6.743	8.372	13.241	16.552	30.519
  584 --   585	19.607	6.737	8.365	12.320	15.467	29.441
  585 --   586	18.507	6.711	8.333	11.243	14.385	28.275
  586 --   587	17.559	6.652	8.259	10.370	13.559	27.267
  587 --   588	16.616	6.643	8.248	9.493	12.472	26.396
  588 --   589	15.604	6.626	8.227	8.491	11.386	25.337
  589 --   590	14.549	6.579	8.169	7.489	10.468	24.107
  590 --   591	13.621	6.651	8.258	6.489	9.383	23.392
  591 --   592	12.558	6.616	8.215	5.363	8.510	22.274
  592 --   593	11.464	6.573	8.161	4.357	7.467	21.025
  593 --   594	10.507	6.593	8.186	3.487	6.384	20.107
  594 --   595	9.566	6.599	8.194	2.492	5.465	19.271
  595 --   596	8.604	6.623	8.223	1.408	4.539	18.188
  596 --   597	7.596	6.683	8.299	0.486	3.462	17.393
    0 --   597	28.247	1.394	1.731	25.922	28.313	29.980
