Interval	Avg	Std	CI=0.95	Min	Median	Max
  192 --   193	30.141	2.890	3.589	25.364	31.020	34.087
  193 --   194	31.036	3.049	3.786	25.364	33.019	33.469
  194 --   195	31.365	3.496	4.340	25.364	31.587	35.020
  195 --   196	31.427	3.407	4.230	25.364	31.457	34.984
  196 --   197	30.608	3.266	4.055	25.364	30.007	34.608
  197 --   198	30.256	2.932	3.640	25.364	31.132	33.467
  198 --   199	29.846	2.759	3.426	25.020	31.567	32.229
  199 --   200	29.535	2.677	3.324	24.247	31.106	31.140
  200 --   201	29.816	3.317	4.119	23.465	30.556	32.751
  201 --   202	29.931	4.475	5.556	21.479	30.637	34.224
  202 --   203	29.500	4.462	5.540	21.047	30.603	33.569
  203 --   204	28.862	4.851	6.024	19.606	31.201	33.231
  204 --   205	28.715	4.797	5.956	20.169	30.427	33.956
  205 --   206	28.958	4.180	5.190	21.585	31.239	32.575
  206 --   207	29.003	4.186	5.197	21.606	30.858	33.200
  207 --   208	29.436	5.503	6.833	19.580	31.326	35.075
  208 --   209	29.588	5.726	7.110	19.036	32.022	35.188
  209 --   210	29.102	5.629	6.989	17.979	31.284	33.537
  210 --   211	29.713	6.343	7.876	17.357	32.567	35.087
  211 --   212	28.680	5.949	7.387	17.357	30.916	34.660
  212 --   213	28.050	5.532	6.869	17.357	30.142	33.344
  213 --   214	28.106	5.446	6.762	17.357	30.690	32.134
  214 --   215	28.570	5.618	6.975	17.357	31.267	31.871
  215 --   216	29.320	6.043	7.503	17.357	32.246	33.541
  216 --   217	30.623	6.671	8.283	17.357	33.655	35.021
  217 --   218	30.576	6.691	8.308	17.357	32.898	35.235
  218 --   219	29.744	6.711	8.333	16.457	32.242	34.288
  219 --   220	28.918	6.341	7.873	16.432	30.961	33.302
  220 --   221	28.418	7.217	8.961	14.015	31.649	32.619
  221 --   222	28.061	7.546	9.370	13.003	31.705	32.608
  222 --   223	28.574	7.836	9.729	13.003	32.692	33.553
  223 --   224	29.037	8.057	10.005	13.003	32.397	34.577
  224 --   225	28.990	8.061	10.009	13.003	31.907	34.401
  225 --   226	28.393	7.815	9.703	13.003	30.917	34.031
  226 --   227	27.533	7.333	9.105	13.003	30.312	32.881
  227 --   228	27.569	7.313	9.081	13.003	30.753	31.977
  228 --   229	27.951	7.563	9.390	13.003	30.753	33.853
  229 --   230	28.207	7.714	9.578	13.003	30.753	33.479
  230 --   231	28.528	8.054	10.000	12.448	32.198	33.383
  231 --   232	27.796	8.729	10.839	10.357	31.999	32.597
  232 --   233	27.782	9.223	11.452	9.411	31.798	33.967
  233 --   234	26.632	8.789	10.913	9.125	30.704	31.930
  234 --   235	26.585	8.748	10.862	9.125	31.105	31.403
  235 --   236	26.117	8.507	10.563	9.125	30.296	30.881
  236 --   237	29.962	2.659	3.302	25.125	30.149	32.506
  237 --   238	29.828	2.614	3.246	25.112	30.146	32.275
  238 --   239	28.851	2.940	3.650	23.334	30.403	31.626
  239 --   240	28.628	2.918	3.624	22.906	30.185	30.771
  240 --   241	28.791	3.664	4.549	21.703	29.643	31.771
  241 --   242	28.969	4.551	5.650	20.535	29.727	33.412
  242 --   243	30.088	5.140	6.383	20.423	31.334	35.263
  243 --   244	30.896	5.447	6.763	20.423	32.564	36.411
  244 --   245	30.770	5.403	6.708	20.423	31.770	35.587
  245 --   246	29.958	4.960	6.159	20.423	31.190	33.864
  246 --   247	29.204	4.590	5.699	20.423	30.162	32.920
  247 --   248	28.826	4.568	5.672	20.423	29.174	33.702
  248 --   249	29.258	4.735	5.879	20.423	30.590	34.633
  249 --   250	29.811	5.424	6.735	19.229	31.866	34.556
  250 --   251	29.802	6.167	7.657	17.579	32.827	33.994
  251 --   252	28.899	6.040	7.500	16.908	31.746	32.934
  252 --   253	28.656	6.137	7.621	16.544	31.157	33.430
  253 --   254	27.949	5.783	7.180	16.544	30.175	32.650
  254 --   255	27.809	5.666	7.036	16.544	30.188	31.822
  255 --   256	27.925	5.715	7.096	16.544	30.327	31.705
  256 --   257	28.565	6.033	7.491	16.544	31.278	32.508
  257 --   258	28.982	6.340	7.872	16.538	31.862	34.170
  258 --   259	28.779	7.587	9.421	13.969	32.894	34.327
  259 --   260	27.819	8.098	10.055	12.068	32.013	34.320
  260 --   261	26.913	7.630	9.474	12.068	30.904	33.009
  261 --   262	26.684	7.360	9.138	12.068	29.805	31.992
  262 --   263	26.167	7.067	8.775	12.068	29.254	30.426
  263 --   264	26.387	7.209	8.951	12.068	30.308	30.764
  264 --   265	26.739	7.711	9.575	11.649	30.872	31.910
  265 --   266	26.586	8.066	10.015	11.060	30.378	32.564
  266 --   267	26.052	8.441	10.480	10.109	29.252	32.822
  267 --   268	25.935	9.022	11.202	8.858	28.327	34.426
  268 --   269	25.760	9.369	11.633	7.833	27.573	34.216
  269 --   270	25.599	9.833	12.209	7.112	27.421	34.394
  270 --   271	25.869	10.092	12.531	7.112	29.183	35.731
  271 --   272	25.938	10.184	12.645	7.112	31.026	35.319
  272 --   273	26.239	9.849	12.229	7.112	30.456	34.383
  273 --   274	26.474	9.563	11.873	7.570	30.622	33.642
  274 --   275	26.499	8.776	10.897	9.112	29.914	32.184
  275 --   276	26.571	7.865	9.765	11.112	29.435	32.456
  276 --   277	26.820	8.125	10.088	11.112	29.390	33.185
  277 --   278	26.964	9.197	11.419	9.395	31.182	34.456
  278 --   279	27.464	9.904	12.297	9.072	32.844	35.779
  279 --   280	27.193	9.911	12.306	9.072	31.874	36.432
  280 --   281	26.604	9.324	11.578	9.072	30.213	35.056
  281 --   282	26.170	8.961	11.126	9.072	29.009	34.254
  282 --   283	26.401	7.945	9.865	11.218	30.749	32.849
  283 --   284	26.690	7.504	9.317	13.072	30.296	32.959
  284 --   285	27.264	7.922	9.836	13.072	31.630	34.538
  285 --   286	27.117	7.817	9.706	12.782	32.262	33.358
  286 --   287	29.407	2.915	3.620	24.182	30.571	32.266
  287 --   288	28.211	2.682	3.330	23.309	28.868	31.318
  288 --   289	27.866	2.404	2.985	23.823	28.706	30.568
  289 --   290	27.540	1.515	1.881	24.979	28.569	28.904
  290 --   291	28.203	1.733	2.152	25.739	28.760	30.160
  291 --   292	29.071	2.310	2.868	26.136	30.730	31.215
  292 --   293	29.487	3.510	4.359	24.802	32.077	32.507
  293 --   294	29.090	4.512	5.602	23.256	31.521	34.507
  294 --   295	28.666	4.809	5.971	22.086	31.285	34.292
  295 --   296	28.938	4.577	5.683	22.086	31.651	33.784
  296 --   297	28.620	3.785	4.700	22.086	30.901	32.288
  297 --   298	28.798	3.832	4.758	22.086	30.470	32.760
  298 --   299	29.212	3.784	4.698	21.883	30.326	32.760
  299 --   300	30.062	4.589	5.699	21.356	31.056	34.754
  300 --   301	29.924	5.208	6.466	20.146	31.434	34.451
  301 --   302	29.338	5.539	6.878	18.662	31.338	34.056
  302 --   303	29.655	6.036	7.494	17.771	32.134	34.056
  303 --   304	29.358	6.131	7.613	17.387	30.892	33.870
  304 --   305	29.255	5.971	7.414	17.387	32.275	33.218
  305 --   306	29.762	6.330	7.859	17.387	31.663	34.401
  306 --   307	29.581	6.572	8.161	17.387	30.421	36.657
  307 --   308	29.178	6.326	7.854	17.125	30.376	35.532
  308 --   309	28.811	6.695	8.312	15.748	31.416	34.703
  309 --   310	28.209	6.578	8.168	15.153	30.646	32.573
  310 --   311	28.487	7.348	9.124	13.906	31.717	33.785
  311 --   312	28.422	7.931	9.848	12.738	31.620	34.031
  312 --   313	28.668	8.217	10.203	12.622	32.864	35.029
  313 --   314	28.861	8.385	10.411	12.497	32.130	35.364
  314 --   315	28.864	8.259	10.255	12.497	32.194	34.820
  315 --   316	28.749	8.274	10.273	12.497	32.462	34.661
  316 --   317	28.289	8.094	10.050	12.497	31.647	35.473
  317 --   318	28.029	7.908	9.819	12.497	30.928	34.690
  318 --   319	27.871	7.812	9.699	12.497	30.454	33.505
  319 --   320	28.045	7.850	9.747	12.489	31.179	33.458
  320 --   321	27.941	8.091	10.046	11.858	31.444	33.249
  321 --   322	28.527	8.789	10.913	11.237	31.947	35.886
  322 --   323	28.486	9.305	11.554	10.065	32.537	35.382
  323 --   324	28.349	9.413	11.688	9.600	32.443	34.398
  324 --   325	27.901	9.826	12.200	8.361	31.890	34.429
  325 --   326	27.329	9.555	11.864	8.361	31.852	33.889
  326 --   327	26.795	9.288	11.533	8.361	31.528	33.040
  327 --   328	26.598	9.126	11.332	8.361	30.929	31.756
  328 --   329	26.537	9.094	11.292	8.361	30.853	31.671
  329 --   330	27.317	9.121	11.325	9.219	31.003	33.929
  330 --   331	28.502	8.208	10.192	12.361	31.653	34.929
  331 --   332	29.412	7.804	9.691	14.111	33.725	34.672
  332 --   333	29.262	7.917	9.831	13.601	33.195	34.522
  333 --   334	28.397	7.674	9.529	13.200	31.802	33.939
  334 --   335	27.995	7.187	8.924	13.678	31.130	32.610
  335 --   336	27.726	7.332	9.103	13.106	31.512	31.910
  336 --   337	27.613	7.822	9.712	11.996	31.210	32.390
  337 --   338	27.234	7.649	9.498	11.996	30.482	32.144
  338 --   339	30.754	1.375	1.708	29.406	30.482	33.386
  339 --   340	31.070	1.657	2.057	29.996	30.468	34.358
  340 --   341	31.626	1.600	1.986	29.996	30.774	33.709
  341 --   342	31.648	1.083	1.344	29.996	31.357	33.048
  342 --   343	31.483	1.481	1.839	29.671	31.766	33.857
  343 --   344	31.031	1.876	2.329	29.173	30.873	34.509
  344 --   345	30.037	2.609	3.239	26.285	29.936	34.209
  345 --   346	30.526	2.599	3.227	25.815	30.679	32.949
  346 --   347	30.253	2.577	3.199	25.259	31.276	32.347
  347 --   348	30.109	2.509	3.116	25.259	31.054	32.347
  348 --   349	29.639	3.939	4.891	22.368	30.777	33.534
  349 --   350	30.810	3.241	4.024	25.259	31.606	34.347
  350 --   351	31.290	3.289	4.084	25.259	32.969	34.240
  351 --   352	31.020	3.395	4.215	24.341	32.374	33.450
  352 --   353	30.362	3.829	4.754	23.046	31.354	34.287
  353 --   354	29.585	4.397	5.459	20.963	31.377	33.316
  354 --   355	29.169	4.223	5.244	20.963	30.731	32.436
  355 --   356	28.794	3.959	4.915	20.963	30.372	31.631
  356 --   357	28.431	3.853	4.784	20.878	30.331	31.492
  357 --   358	28.113	4.004	4.971	20.310	30.398	30.768
  358 --   359	28.551	4.858	6.032	18.868	30.889	31.580
  359 --   360	28.945	6.202	7.701	16.848	32.372	33.251
  360 --   361	28.820	6.118	7.597	16.827	32.144	32.889
  361 --   362	29.224	6.443	8.000	16.552	31.443	34.288
  362 --   363	29.112	6.402	7.949	16.552	31.399	34.601
  363 --   364	28.508	7.473	9.279	14.184	31.009	36.173
  364 --   365	27.730	7.407	9.196	13.591	29.686	35.410
  365 --   366	26.729	7.716	9.581	12.072	28.893	34.541
  366 --   367	26.809	7.694	9.553	12.070	30.460	33.828
  367 --   368	27.463	7.791	9.674	12.070	31.745	32.275
  368 --   369	28.126	8.030	9.971	12.070	32.027	32.491
  369 --   370	27.823	7.904	9.814	12.070	31.385	32.928
  370 --   371	27.347	7.647	9.495	12.070	30.915	31.849
  371 --   372	27.037	7.657	9.507	11.912	30.237	32.915
  372 --   373	26.893	8.250	10.244	10.744	30.106	32.915
  373 --   374	27.082	8.861	11.003	9.791	30.706	33.813
  374 --   375	27.398	9.343	11.601	8.927	31.591	34.379
  375 --   376	27.236	9.712	12.059	7.914	31.131	33.392
  376 --   377	26.984	8.719	10.826	9.914	29.422	33.776
  377 --   378	26.410	8.392	10.420	9.914	29.862	32.513
  378 --   379	29.154	2.153	2.673	25.963	30.043	31.884
  379 --   380	29.695	2.344	2.910	25.394	30.774	31.659
  380 --   381	29.379	2.714	3.370	24.036	30.815	31.277
  381 --   382	29.887	3.149	3.909	24.036	30.717	32.891
  382 --   383	30.504	3.532	4.386	24.036	31.478	33.891
  383 --   384	30.463	3.418	4.244	24.036	31.156	33.414
  384 --   385	29.069	6.311	7.836	16.599	32.160	33.286
  385 --   386	30.202	3.140	3.899	24.036	31.492	32.381
  386 --   387	29.681	3.472	4.311	22.802	31.363	32.042
  387 --   388	29.423	4.400	5.463	20.910	30.598	33.485
  388 --   389	29.105	4.625	5.743	20.112	31.370	32.875
  389 --   390	28.671	4.410	5.475	20.112	30.923	32.293
  390 --   391	28.591	4.349	5.399	20.112	30.890	31.944
  391 --   392	28.502	4.262	5.292	20.112	30.400	31.362
  392 --   393	28.623	4.456	5.533	20.095	30.346	33.112
  393 --   394	28.887	5.340	6.631	19.686	29.520	36.070
  394 --   395	28.517	5.687	7.061	18.224	31.230	34.230
  395 --   396	28.703	5.823	7.230	17.544	31.230	33.342
  396 --   397	29.128	7.259	9.013	14.767	32.268	34.305
  397 --   398	28.860	7.716	9.581	13.626	31.768	34.971
  398 --   399	28.454	8.029	9.970	12.683	31.677	34.892
  399 --   400	28.139	7.965	9.890	12.612	31.062	34.752
  400 --   401	28.270	7.978	9.906	12.612	31.088	34.524
  401 --   402	28.449	7.974	9.901	12.612	32.536	33.731
  402 --   403	28.292	7.907	9.818	12.612	32.382	33.129
  403 --   404	28.188	8.071	10.021	12.304	32.630	33.618
  404 --   405	28.083	8.031	9.972	12.126	31.436	33.836
  405 --   406	28.161	8.919	11.075	10.681	30.836	35.437
  406 --   407	27.412	8.981	11.151	9.841	29.991	34.959
  407 --   408	26.675	9.271	11.511	8.548	31.400	34.062
  408 --   409	26.726	9.297	11.543	8.548	30.113	33.652
  409 --   410	27.330	9.510	11.808	8.548	31.334	34.527
  410 --   411	27.740	8.710	10.815	10.549	31.136	33.757
  411 --   412	28.025	8.705	10.809	10.711	31.923	33.804
  412 --   413	31.947	1.919	2.383	28.535	32.621	33.923
  413 --   414	31.715	2.485	3.085	27.377	32.337	34.621
  414 --   415	31.476	2.593	3.219	26.776	32.077	34.406
  415 --   416	31.231	2.655	3.297	26.776	31.469	34.366
  416 --   417	30.781	2.427	3.013	26.776	30.720	34.350
  417 --   418	30.362	2.170	2.695	26.776	30.763	32.848
  418 --   419	27.093	9.892	12.283	7.693	30.680	35.345
  419 --   420	31.115	2.761	3.428	26.700	31.402	35.187
  420 --   421	30.436	2.611	3.243	25.996	30.805	34.111
  421 --   422	30.079	3.005	3.731	24.346	31.321	33.006
  422 --   423	30.103	3.030	3.762	24.116	31.779	31.966
  423 --   424	30.267	3.613	4.486	23.309	31.194	33.653
  424 --   425	30.712	4.121	5.116	22.677	32.931	33.525
