Interval	Avg	Std	CI=0.95	Min	Median	Max
  102 --   103	252.320	33.440	300.446	218.880	252.320	285.760
  103 --   104	297.440	129.120	1160.097	168.320	297.440	426.560
  104 --   105	365.440	71.040	638.269	294.400	365.440	436.480
  105 --   106	237.440	9.280	83.377	228.160	237.440	246.720
  106 --   107	287.840	121.760	1093.970	166.080	287.840	409.600
  107 --   108	348.320	49.440	444.201	298.880	348.320	397.760
  108 --   109	187.680	13.920	125.066	173.760	187.680	201.600
  109 --   110	236.640	106.720	958.841	129.920	236.640	343.360
  110 --   111	335.840	81.760	734.584	254.080	335.840	417.600
  111 --   112	203.040	16.160	145.192	186.880	203.040	219.200
  112 --   113	237.600	142.560	1280.851	95.040	237.600	380.160
  113 --   114	337.600	94.080	845.275	243.520	337.600	431.680
  114 --   115	277.600	21.600	194.068	256.000	277.600	299.200
  115 --   116	248.640	101.440	911.402	147.200	248.640	350.080
  116 --   117	333.280	68.000	610.956	265.280	333.280	401.280
  117 --   118	290.880	12.480	112.128	278.400	290.880	303.360
  118 --   119	249.760	80.160	720.209	169.600	249.760	329.920
  119 --   120	362.880	25.600	230.007	337.280	362.880	388.480
  120 --   121	358.880	42.080	378.074	316.800	358.880	400.960
  121 --   122	255.680	31.680	284.634	224.000	255.680	287.360
  122 --   123	243.840	12.800	115.003	231.040	243.840	256.640
  123 --   124	208.800	72.160	648.332	136.640	208.800	280.960
  124 --   125	131.680	16.480	148.067	115.200	131.680	148.160
  125 --   126	215.360	21.120	189.756	194.240	215.360	236.480
  126 --   127	232.320	33.920	304.759	198.400	232.320	266.240
  127 --   128	150.880	44.960	403.950	105.920	150.880	195.840
  128 --   129	204.480	54.400	488.765	150.080	204.480	258.880
  129 --   130	227.520	56.320	506.015	171.200	227.520	283.840
  130 --   131	135.360	8.320	74.752	127.040	135.360	143.680
  131 --   132	134.560	52.000	467.201	82.560	134.560	186.560
  132 --   133	220.800	59.840	537.641	160.960	220.800	280.640
  133 --   134	225.120	1.440	12.938	223.680	225.120	226.560
  134 --   135	168.800	16.480	148.067	152.320	168.800	185.280
  135 --   136	212.160	93.120	836.650	119.040	212.160	305.280
  136 --   137	211.840	3.200	28.751	208.640	211.840	215.040
  137 --   138	213.440	4.160	37.376	209.280	213.440	217.600
  138 --   139	272.320	121.600	1092.533	150.720	272.320	393.920
  139 --   140	193.600	43.840	393.887	149.760	193.600	237.440
  140 --   141	252.640	0.800	7.188	251.840	252.640	253.440
  141 --   142	203.360	55.200	495.952	148.160	203.360	258.560
  142 --   143	148.480	3.200	28.751	145.280	148.480	151.680
