Interval	Avg	Std	CI=0.95	Min	Median	Max
  102 --   103	25.272	10.003	12.420	10.058	28.650	39.076
  103 --   104	25.681	10.482	13.015	8.365	29.274	37.244
  104 --   105	25.804	10.691	13.274	7.776	30.699	36.671
  105 --   106	26.330	11.463	14.234	7.899	32.418	37.185
  106 --   107	26.778	11.610	14.416	8.691	34.220	37.852
  107 --   108	27.430	11.600	14.403	10.712	36.025	37.845
  108 --   109	27.578	11.438	14.202	11.066	36.323	37.394
  109 --   110	27.750	10.508	13.047	11.857	35.345	36.955
  110 --   111	28.572	9.907	12.301	12.857	33.437	38.955
  111 --   112	29.811	8.960	11.125	13.462	32.636	38.879
  112 --   113	30.290	8.260	10.256	14.857	32.636	38.199
  113 --   114	30.166	7.918	9.831	15.524	32.631	37.612
  114 --   115	29.536	7.170	8.903	16.462	32.100	36.160
  115 --   116	29.095	6.825	8.474	17.135	31.033	35.708
  116 --   117	28.721	6.106	7.581	18.858	29.368	35.076
  117 --   118	28.657	5.866	7.284	18.526	28.500	35.075
  118 --   119	28.674	6.321	7.849	16.231	31.324	33.305
  119 --   120	28.893	6.385	7.928	16.149	32.161	32.491
  120 --   121	28.898	6.505	8.077	16.104	31.407	34.341
  121 --   122	29.576	6.596	8.190	16.562	32.861	34.341
  122 --   123	29.261	6.238	7.745	16.895	31.787	33.752
  123 --   124	28.702	5.617	6.974	17.562	30.814	32.730
  124 --   125	28.571	5.458	6.778	17.833	30.980	32.431
  125 --   126	29.091	5.663	7.031	18.312	30.805	33.973
  126 --   127	29.603	5.620	6.978	18.895	31.104	34.943
  127 --   128	29.587	5.523	6.857	18.895	32.800	33.523
  128 --   129	29.783	5.306	6.588	19.312	32.007	33.627
  129 --   130	28.641	4.697	5.832	19.312	30.515	31.770
  130 --   131	28.163	4.420	5.488	19.438	30.291	31.390
  131 --   132	28.414	5.184	6.437	18.182	30.762	31.848
  132 --   133	28.625	5.765	7.158	17.131	31.029	32.040
  133 --   134	28.548	6.399	7.945	15.813	31.111	32.515
  134 --   135	28.365	6.186	7.681	16.241	30.034	33.012
  135 --   136	28.500	6.232	7.738	16.791	29.195	34.525
  136 --   137	28.750	6.572	8.160	16.791	29.709	36.515
  137 --   138	28.345	6.454	8.013	17.000	29.740	36.513
  138 --   139	28.041	5.871	7.289	17.750	29.740	35.616
  139 --   140	28.390	5.662	7.030	18.333	29.686	35.069
  140 --   141	29.351	4.712	5.851	20.791	30.135	34.377
  141 --   142	29.235	5.273	6.548	19.291	31.981	33.732
  142 --   143	29.076	4.698	5.833	20.270	31.082	33.543
  143 --   144	28.968	4.321	5.366	20.416	30.957	31.795
  144 --   145	29.574	5.020	6.234	19.822	32.496	32.971
  145 --   146	28.824	5.367	6.664	18.341	31.763	32.803
  146 --   147	28.527	5.500	6.829	17.641	30.368	32.136
  147 --   148	28.266	5.621	6.980	17.395	30.368	33.324
  148 --   149	27.749	5.903	7.330	16.288	29.171	32.861
  149 --   150	28.108	5.872	7.291	16.774	30.734	33.210
  150 --   151	28.647	5.961	7.401	17.204	30.713	33.969
  151 --   152	29.277	5.757	7.148	18.246	30.595	34.393
  152 --   153	29.484	5.422	6.733	19.079	31.956	34.393
  153 --   154	29.633	5.310	6.594	19.371	31.056	34.393
  154 --   155	30.555	5.373	6.672	20.163	32.514	34.756
  155 --   156	30.750	5.233	6.497	20.968	32.484	35.940
  156 --   157	30.337	4.641	5.763	21.825	31.947	35.411
  157 --   158	29.257	3.867	4.802	22.203	30.576	32.958
  158 --   159	28.696	3.825	4.750	21.545	29.755	32.346
  159 --   160	28.298	4.094	5.083	20.389	29.450	32.034
  160 --   161	29.323	4.734	5.878	20.211	30.641	34.034
  161 --   162	29.910	4.727	5.869	20.608	32.450	32.950
  162 --   163	29.492	4.395	5.457	20.733	31.539	32.139
  163 --   164	29.116	4.001	4.968	21.274	30.451	32.343
  164 --   165	29.425	4.108	5.101	21.483	30.723	32.715
  165 --   166	29.848	3.937	4.888	23.024	31.192	34.558
  166 --   167	30.538	4.378	5.436	23.274	31.192	36.641
  167 --   168	31.300	4.456	5.533	23.274	31.365	36.515
  168 --   169	31.882	4.372	5.428	23.552	33.134	35.793
  169 --   170	31.749	3.469	4.308	26.045	32.029	36.022
  170 --   171	31.335	2.918	3.623	27.274	30.957	35.496
  171 --   172	31.018	1.897	2.356	28.300	30.374	33.344
  172 --   173	30.561	1.885	2.340	27.868	30.558	32.751
  173 --   174	30.342	1.950	2.421	27.470	31.537	32.485
  174 --   175	30.585	2.594	3.221	25.589	31.629	32.579
  175 --   176	31.369	3.030	3.762	25.577	32.326	34.485
  176 --   177	31.520	2.499	3.103	26.674	32.707	33.298
  177 --   178	31.620	2.467	3.063	27.327	32.024	34.629
  178 --   179	31.448	2.080	2.583	28.504	31.751	34.593
  179 --   180	30.994	1.646	2.044	29.327	30.526	34.148
