Time 1-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 Aggregate-Flow
109.000000 0.000509 0.001695 0.003367 0.005571
110.000000 0.000494 0.002037 0.002826 0.005357
111.000000 0.000985 0.003471 0.004281 0.008737
112.000000 0.000865 0.003598 0.004593 0.009056
113.000000 0.000449 0.002107 0.003747 0.006303
114.000000 0.000923 0.004041 0.004171 0.009135
115.000000 0.000557 0.002508 0.003388 0.006453
116.000000 0.000811 0.002885 0.004373 0.008069
117.000000 0.001022 0.006060 0.005047 0.012129
118.000000 0.001460 0.005020 0.005597 0.012077
119.000000 0.001255 0.005126 0.004821 0.011202
120.000000 0.001021 0.004800 0.005222 0.011043
121.000000 0.001047 0.003367 0.005285 0.009699
122.000000 0.001044 0.005219 0.004945 0.011208
123.000000 0.000614 0.002076 0.003170 0.005860
124.000000 0.000384 0.001389 0.002947 0.004720
125.000000 0.000454 0.001479 0.003435 0.005368
126.000000 0.000783 0.003467 0.004745 0.008995
127.000000 0.000585 0.002704 0.003182 0.006471
128.000000 0.001276 0.005355 0.004785 0.011416
129.000000 0.001151 0.004604 0.004671 0.010426
130.000000 0.000865 0.002735 0.003296 0.006896
131.000000 0.000843 0.004062 0.004448 0.009353
132.000000 0.001169 0.005871 0.005285 0.012325
133.000000 0.000706 0.002666 0.004096 0.007468
134.000000 0.000768 0.004546 0.004339 0.009653
135.000000 0.001228 0.004445 0.005173 0.010846
136.000000 0.001005 0.005363 0.005910 0.012278
137.000000 0.001245 0.005453 0.005268 0.011966
138.000000 0.000986 0.004516 0.004476 0.009978
139.000000 0.000464 0.002049 0.003269 0.005782
140.000000 0.000540 0.001841 0.003530 0.005911
141.000000 0.000442 0.001721 0.003068 0.005231
142.000000 0.000801 0.002483 0.003707 0.006991
143.000000 0.001011 0.004590 0.006052 0.011653
144.000000 0.001129 0.005432 0.005231 0.011792
145.000000 0.001174 0.005334 0.005632 0.012140
146.000000 0.001022 0.004703 0.005773 0.011498
147.000000 0.000500 0.001907 0.003707 0.006114
148.000000 0.000492 0.002608 0.003521 0.006621
149.000000 0.001158 0.005664 0.005473 0.012295
150.000000 0.000751 0.004416 0.005335 0.010502
151.000000 0.000449 0.001638 0.003498 0.005585
152.000000 0.000411 0.001935 0.003202 0.005548
153.000000 0.000457 0.003300 0.004293 0.008050
154.000000 0.000405 0.001845 0.003317 0.005567
155.000000 0.000363 0.002503 0.003005 0.005871
156.000000 0.000712 0.004793 0.004302 0.009807
157.000000 0.000581 0.005229 0.005008 0.010818
158.000000 0.000614 0.004508 0.004393 0.009515
159.000000 0.000644 0.003061 0.004078 0.007783
160.000000 0.000496 0.002562 0.003715 0.006773
161.000000 0.000982 0.003243 0.004528 0.008753
162.000000 0.001164 0.006014 0.005839 0.013017
163.000000 0.001081 0.003715 0.004031 0.008827
164.000000 0.000945 0.004653 0.004687 0.010285
165.000000 0.000748 0.003727 0.003901 0.008376
166.000000 0.001284 0.004475 0.004248 0.010007
167.000000 0.001089 0.005321 0.005500 0.011910
168.000000 0.001660 0.005264 0.006194 0.013118
169.000000 0.000953 0.005757 0.004872 0.011582
170.000000 0.001398 0.005914 0.005144 0.012456
171.000000 0.001115 0.006547 0.004736 0.012398
172.000000 0.000615 0.003697 0.004571 0.008883
173.000000 0.000657 0.002185 0.004109 0.006951
174.000000 0.000653 0.003301 0.003406 0.007360
175.000000 0.001227 0.005069 0.005506 0.011802
176.000000 0.001034 0.004754 0.005511 0.011299
177.000000 0.001377 0.005674 0.005989 0.013040
178.000000 0.001164 0.005388 0.004956 0.011508
179.000000 0.001273 0.006442 0.005556 0.013271
180.000000 0.000903 0.003471 0.003996 0.008370
181.000000 0.000491 0.002007 0.003028 0.005526
182.000000 0.000539 0.001620 0.003216 0.005375
183.000000 0.000429 0.001254 0.003243 0.004926
184.000000 0.000527 0.001716 0.003418 0.005661
185.000000 0.001007 0.003846 0.004608 0.009461
186.000000 0.001327 0.005087 0.005563 0.011977
187.000000 0.001335 0.004781 0.004720 0.010836
188.000000 0.000918 0.006328 0.005100 0.012346
189.000000 0.000619 0.002499 0.004478 0.007596
190.000000 0.000404 0.001454 0.003342 0.005200
191.000000 0.000926 0.003622 0.003945 0.008493
192.000000 0.001310 0.006114 0.004998 0.012422
193.000000 0.000639 0.002864 0.003207 0.006710
194.000000 0.000602 0.001594 0.003290 0.005486
195.000000 0.000812 0.003521 0.004639 0.008972
196.000000 0.000726 0.002639 0.003850 0.007215
197.000000 0.001026 0.004769 0.004989 0.010784
198.000000 0.000375 0.001758 0.003825 0.005958
199.000000 0.000846 0.003324 0.004157 0.008327
200.000000 0.000454 0.002219 0.003277 0.005950
201.000000 0.000649 0.002229 0.004348 0.007226
202.000000 0.000877 0.004465 0.004680 0.010022
203.000000 0.000664 0.002346 0.003968 0.006978
204.000000 0.001143 0.005022 0.004600 0.010765
205.000000 0.000842 0.003933 0.004205 0.008980
206.000000 0.000952 0.003354 0.004261 0.008567
207.000000 0.000998 0.005110 0.005920 0.012028
208.000000 0.001401 0.005224 0.006005 0.012630
209.000000 0.001228 0.004608 0.005045 0.010881
210.000000 0.001269 0.005432 0.005294 0.011995
211.000000 0.001157 0.005849 0.006270 0.013276
212.000000 0.001142 0.007345 0.006194 0.014681
213.000000 0.001390 0.005725 0.005653 0.012768
214.000000 0.001196 0.006657 0.006087 0.013940
215.000000 0.001434 0.006463 0.005437 0.013334
216.000000 0.001139 0.005522 0.005716 0.012377
217.000000 0.000605 0.002352 0.003100 0.006057
218.000000 0.000528 0.001953 0.003241 0.005722
219.000000 0.000917 0.007371 0.005578 0.013866
