Time 1-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 418.880000 1809.600000 1716.000000 3944.480000
1.000000 459.200000 1736.800000 1908.000000 4104.000000
2.000000 459.200000 1788.800000 1932.000000 4180.000000
3.000000 387.520000 1851.200000 1728.000000 3966.720000
4.000000 473.280000 1726.400000 1812.000000 4011.680000
5.000000 397.120000 1726.400000 1740.000000 3863.520000
6.000000 458.880000 1809.600000 1704.000000 3972.480000
7.000000 483.840000 1622.400000 1680.000000 3786.240000
8.000000 430.080000 1632.800000 1608.000000 3670.880000
9.000000 532.480000 1778.400000 1980.000000 4290.880000
10.000000 398.080000 1653.600000 1872.000000 3923.680000
11.000000 568.320000 1747.200000 1788.000000 4103.520000
12.000000 523.520000 1560.000000 1956.000000 4039.520000
13.000000 696.640000 1892.800000 1740.000000 4329.440000
14.000000 660.160000 1612.000000 1956.000000 4228.160000
15.000000 427.520000 1934.400000 1584.000000 3945.920000
16.000000 527.360000 1882.400000 1992.000000 4401.760000
17.000000 449.280000 1757.600000 1776.000000 3982.880000
18.000000 467.520000 1497.600000 1884.000000 3849.120000
19.000000 570.240000 1809.600000 1512.000000 3891.840000
20.000000 521.920000 1508.000000 1608.000000 3637.920000
21.000000 483.200000 1892.800000 1464.000000 3840.000000
22.000000 487.360000 1643.200000 1848.000000 3978.560000
23.000000 592.640000 1830.400000 1776.000000 4199.040000
24.000000 434.560000 1643.200000 1632.000000 3709.760000
25.000000 502.720000 1830.400000 1728.000000 4061.120000
26.000000 450.240000 1768.000000 1812.000000 4030.240000
27.000000 458.560000 1726.400000 1920.000000 4104.960000
28.000000 643.840000 1965.600000 1860.000000 4469.440000
29.000000 488.640000 1653.600000 1620.000000 3762.240000
30.000000 493.120000 1664.000000 1872.000000 4029.120000
31.000000 394.560000 1736.800000 1776.000000 3907.360000
32.000000 495.680000 1809.600000 1704.000000 4009.280000
33.000000 646.400000 1684.800000 2040.000000 4371.200000
34.000000 435.840000 1809.600000 1788.000000 4033.440000
35.000000 552.640000 1955.200000 1620.000000 4127.840000
36.000000 560.960000 1695.200000 1656.000000 3912.160000
37.000000 686.080000 1809.600000 1728.000000 4223.680000
38.000000 623.360000 1788.800000 1320.000000 3732.160000
39.000000 802.240000 1747.200000 1788.000000 4337.440000
40.000000 821.760000 1976.000000 1872.000000 4669.760000
41.000000 586.240000 1840.800000 1860.000000 4287.040000
42.000000 621.760000 1892.800000 1644.000000 4158.560000
43.000000 484.160000 1674.400000 1680.000000 3838.560000
44.000000 763.520000 2048.800000 1848.000000 4660.320000
45.000000 458.880000 1882.400000 1836.000000 4177.280000
46.000000 666.240000 1736.800000 2052.000000 4455.040000
47.000000 563.520000 1695.200000 1824.000000 4082.720000
48.000000 408.960000 1716.000000 1836.000000 3960.960000
49.000000 581.120000 2017.600000 2124.000000 4722.720000
50.000000 536.000000 1840.800000 1656.000000 4032.800000
51.000000 813.440000 1768.000000 1608.000000 4189.440000
52.000000 588.800000 1591.200000 1788.000000 3968.000000
53.000000 630.400000 1778.400000 1788.000000 4196.800000
54.000000 685.440000 1778.400000 1920.000000 4383.840000
55.000000 406.720000 1892.800000 1812.000000 4111.520000
56.000000 603.200000 1799.200000 1800.000000 4202.400000
57.000000 560.640000 1944.800000 1752.000000 4257.440000
